platform_code_filter	platform_name_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	CZ	Czechia	Mansoor Maitah		1034382646741170	Facebook	6	1	26993	7999	159	66
f	Facebook	CZ	Czechia	Zachraňme lesy	Hnutí DUHA - Přátelé Země Česká republika	299124538476	Facebook	5	1	24995	5000	100	31
f	Facebook	CZ	Czechia	Bc. John Vostenak, MBA, kandidát SPD č. 10 do Evropského parlamentu		1044437145680251	Facebook	9	1	24985	3998	96	15
f	Facebook	CZ	Czechia	Plus500		383159204571	Facebook	4	1	23742	7389	153	45
f	Facebook	CZ	Czechia	Martin Bílek - kandidát do Evropského parlamentu		821968848137300	Facebook	6	1	21993	3999	85	15
f	Facebook	CZ	Czechia	On Your Sleeve	ON YOUR SLEEVE	247943179229148	Facebook	17	1	21813	5275	56	0
f	Facebook	CZ	Czechia	Cecilia Malmström		258966159416	Facebook	1	1	21683	8673	43	21
f	Facebook	CZ	Czechia	Míša Tejmlová	Tejmlová Michaela	170261140345723	Facebook	4	1	20995	6999	62	11
f	Facebook	CZ	Czechia	Zdeněk Hraba - senátor	Kuba Patrik	551976351670874	Facebook	5	1	20995	4000	81	15
f	Facebook	CZ	Czechia	Marek Výborný		206630153142726	Facebook	2	1	19998	10000	38	7
f	Facebook	CZ	Czechia	Petr Hladík	KDU-ČSL	1410403182565683	Facebook	4	1	19996	4000	77	15
f	Facebook	CZ	Czechia	Hami Česká republika a Slovensko		143548004034	Facebook	2	1	19996	9999	197	0
f	Facebook	CZ	Czechia	Alliance of Conservatives and Reformists in Europe	ACRE 	134931073377586	Facebook	1	1	18137	9069	17	0
f	Facebook	CZ	Czechia	Amica Store		550778458763036	Facebook	6	1	17994	3000	23	0
f	Facebook	CZ	Czechia	Petr Erin Kováč,  kandidát do Evropského parlamentu		1701162163265029	Facebook	5	1	17979	5996	89	38
f	Facebook	CZ	Czechia	Pride Business Forum	Kaspar Petr	405910949466894	Facebook	4	1	16996	6000	65	23
f	Facebook	CZ	Czechia	ESO č.4 Jana Spekhorstová		2923620274344633	Facebook	3	1	15997	6000	62	23
f	Facebook	CZ	Czechia	Strana iČesko		237591210267828	Facebook	4	1	15996	3000	77	15
f	Facebook	CZ	Czechia	Pascal do europarlamentu	Vecer Michael Pascal	388373825336893	Facebook	4	1	15995	2999	81	27
f	Facebook	CZ	Czechia	Coconut Bowls		451945511677873	Facebook	67	1	15756	4045	85	0
f	Facebook	CZ	Czechia	Bohempia		368879136622401	Facebook	2	1	14998	6000	23	3
f	Facebook	CZ	Czechia	PhDr. Jan Hrnčíř		632369483479043	Facebook	3	1	14996	2999	264	0
f	Facebook	CZ	Czechia	Council of the European Union		147547541961576	Facebook	4	1	14256	6791	48	9
f	Facebook	CZ	Czechia	The Epoch		218371925673146	Facebook	6	1	13119	4031	34	0
f	Facebook	CZ	Czechia	TOP 09 - Liberecký kraj		316563285803	Facebook	5	1	12995	2000	50	7
f	Facebook	CZ	Czechia	Amazinc Skincare		222074311472291	Facebook	2	1	12189	2418	5	0
f	Facebook	CZ	Czechia	Richard Vereš	Veres Richard	126192198099	Facebook	4	1	11956	1992	46	7
f	Facebook	CZ	Czechia	Radka Trylčová		388570561882834	Facebook	2	1	10998	5000	176	0
f	Facebook	CZ	Czechia	Creative Crafts		300392730826374	Facebook	2	1	10998	5000	139	23
f	Facebook	CZ	Czechia	TechSoup Česká republika		138773566188326	Facebook	2	1	10997	5000	23	3
f	Facebook	CZ	Czechia	David Bartas	Bartas David	896486153741991	Facebook	7	1	10992	999	42	3
f	Facebook	CZ	Czechia	MasterClass		687589164666184	Facebook	3	1	10987	5493	48	9
f	Facebook	CZ	Czechia	EUROPEUM Institute for European Policy		153384318085064	Facebook	2	1	10982	4992	42	19
f	Facebook	CZ	Czechia	Huawei Europe		1709278142683543	Facebook	1	1	10159	5080	5	1
f	Facebook	CZ	Czechia	Talking Europe		316028505828375	Facebook	3	1	10008	4104	33	5
f	Facebook	CZ	Czechia	Český rozhlas Plus		424114981002397	Facebook	1	1	9999	5000	19	3
f	Facebook	CZ	Czechia	ŠTRUNC		1456991384393381	Facebook	1	1	9999	5000	38	19
f	Facebook	CZ	Czechia	Moravské zemské hnutí		223701741482175	Facebook	1	1	9999	5000	38	19
f	Facebook	CZ	Czechia	SPD  - Příbramsko		213791518974717	Facebook	1	1	9999	5000	194	38
f	Facebook	CZ	Czechia	Kupředu do minulosti		264983260329918	Facebook	1	1	9999	5000	38	19
f	Facebook	CZ	Czechia	Pavel Fischer		1934837773438430	Facebook	1	1	9999	5000	38	19
f	Facebook	CZ	Czechia	Zámostí		460094517391603	Facebook	1	1	9999	5000	88	0
f	Facebook	CZ	Czechia	Filip Smoljak		559924231130371	Facebook	1	1	9999	5000	38	19
f	Facebook	CZ	Czechia	Terminál Žižkov		1804795543156367	Facebook	1	1	9999	5000	38	19
f	Facebook	CZ	Czechia	Česká pirátská strana - Liberecký kraj		348394825788	Facebook	1	1	9999	5000	38	19
f	Facebook	CZ	Czechia	Comedy Prague		454131128002073	Facebook	1	1	9999	5000	88	0
f	Facebook	CZ	Czechia	Skandinávský dům		111173278901479	Facebook	1	1	9999	5000	38	19
f	Facebook	CZ	Czechia	Cesta vlakem	Berg Michal	201708513571536	Facebook	2	1	9998	2000	23	3
f	Facebook	CZ	Czechia	Mgr. Lubomír Volný		193203844428379	Facebook	1	1	9998	4999	19	3
f	Facebook	CZ	Czechia	Alexandra Udženija		280617905401953	Facebook	1	1	9998	4999	38	19
f	Facebook	CZ	Czechia	EURACTIV.cz		284944781875	Facebook	2	1	9998	2000	118	3
f	Facebook	CZ	Czechia	Piráti - Mladá Boleslav		590698724378598	Facebook	2	1	9997	1999	38	7
f	Facebook	CZ	Czechia	Radek Hlaváček	Hlavacek Radek	294674561247936	Facebook	1	1	9996	4998	38	19
f	Facebook	CZ	Czechia	URAN+ péče o zdraví aktivních lidí		1620204154869530	Facebook	1	1	9995	4998	38	19
f	Facebook	CZ	Czechia	TOP 09 - Královéhradecký kraj	TOP 09	321213001604	Facebook	2	1	9976	1995	38	7
f	Facebook	CZ	Czechia	Luboš Zálom		1562059410771351	Facebook	5	1	8993	1000	34	3
f	Facebook	CZ	Czechia	Expres.cz		1477502522567102	Facebook	5	1	8864	1284	14	0
f	Facebook	CZ	Czechia	Lucia Kleštincová	EUpositive.sk	1933440166748185	Facebook	1	1	8820	1764	15	0
f	Facebook	CZ	Czechia	Europe Together		140105536131109	Facebook	1	1	8284	4142	41	8
f	Facebook	CZ	Czechia	Balahura Milan	Balahura Milan	2307673269493501	Facebook	8	1	7974	0	30	0
f	Facebook	CZ	Czechia	Fibrenew International		108329495874655	Facebook	2	1	7456	2982	132	66
f	Facebook	CZ	Czechia	Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	7	1	7223	1382	168	0
f	Facebook	CZ	Czechia	Českoaktuálně.cz		1609110509368821	Facebook	3	1	6996	999	296	0
f	Facebook	CZ	Czechia	LIKE APP		272972103180159	Facebook	1	1	6863	2745	6	1
f	Facebook	CZ	Czechia	Alberto Alemanno		179635265973968	Facebook	2	1	6757	3328	6	0
f	Facebook	CZ	Czechia	European Youth		130456876990360	Facebook	5	1	6584	3283	21	4
f	Facebook	CZ	Czechia	eToro		193863317737	Facebook	14	1	6513	2605	18	4
f	Facebook	CZ	Czechia	Ivan ŠTEFANEC		324560137683033	Facebook	2	1	5998	1000	198	0
f	Facebook	CZ	Czechia	David Pokorný	Soska Marek	1675252432766963	Facebook	2	1	5998	1000	23	3
f	Facebook	CZ	Czechia	SPD Teplice - Oblastní klub		1761849450500677	Facebook	2	1	5998	1000	42	19
f	Facebook	CZ	Czechia	Jakub Hruška	Hruška Jakub	399826497106352	Facebook	2	1	5998	1000	7	0
f	Facebook	CZ	Czechia	COPE		338123756929999	Facebook	2	1	5998	999	23	3
f	Facebook	CZ	Czechia	Piráti Olomoucký kraj		122348331158908	Facebook	2	1	5997	999	23	3
f	Facebook	CZ	Czechia	Jana Fašinová		440513060042751	Facebook	2	1	5997	999	197	0
f	Facebook	CZ	Czechia	LegacyFx		966644110116765	Facebook	3	1	5907	2953	14	5
f	Facebook	CZ	Czechia	ISDEF Expo		256740924454183	Facebook	1	1	5905	1181	14	2
