advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	week_code_filter	week_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Atte Kaleva		293156734202539	Facebook	w014	Week 14	FI	Finland	3	1	8790	3758	108	0
Kaakkois-Suomen Sosialidemokraatit		648135815208333	Facebook	w014	Week 14	FI	Finland	1	1	8585	4293	85	0
SFP i Österbotten		356301551123582	Facebook	w014	Week 14	FI	Finland	3	1	8426	1600	200	0
Naisasialiitto Unioni		114085888617511	Facebook	w014	Week 14	FI	Finland	3	1	8203	2498	134	0
Janne Uotila - PIR		376576889210655	Facebook	w014	Week 14	FI	Finland	1	1	8039	4019	401	80
SFP i Helsingfors		106279736072242	Facebook	w014	Week 14	FI	Finland	4	1	7914	1499	189	0
Marisanna Jarva		134061183294108	Facebook	w014	Week 14	FI	Finland	9	1	7787	0	771	0
Lotta Alhonnoro		897371603607419	Facebook	w014	Week 14	FI	Finland	3	1	7616	1363	214	0
Tekniikan akateemiset TEK		155492884488412	Facebook	w014	Week 14	FI	Finland	1	1	7497	3749	74	0
Naisjärjestöjen Keskusliitto - Kvinnoorganisationernas Centralförbund ry		184807228208383	Facebook	w014	Week 14	FI	Finland	1	1	7129	3564	70	0
Tuuli Hirvilammi Vihreät		731283633719017	Facebook	w014	Week 14	FI	Finland	5	1	6749	857	329	0
Said Moradi - Ääni kaikille		225438588409098	Facebook	w014	Week 14	FI	Finland	2	1	6665	3000	365	60
Johanna Karjula		460881870610568	Facebook	w014	Week 14	FI	Finland	2	1	6545	1909	65	9
METAL SPORT		283686174845	Facebook	w014	Week 14	FI	Finland	1	1	6249	3125	55	0
Isabella "Bella" Alén		1907428219501440	Facebook	w014	Week 14	FI	Finland	3	1	6088	1000	207	0
Jussi Patinen, äänesi eduskuntaan		742779219424541	Facebook	w014	Week 14	FI	Finland	2	1	6082	1216	120	0
Svensk Ungdom - RKP-nuoret		172659206933	Facebook	w014	Week 14	FI	Finland	2	1	5998	1000	198	0
Kanta-Hämeen Perussuomalaiset		467446906613423	Facebook	w014	Week 14	FI	Finland	2	1	5998	999	198	0
Toni Ahva		490822437774614	Facebook	w014	Week 14	FI	Finland	2	1	5998	1000	198	0
Juha Pitkänen		2015686778659015	Facebook	w014	Week 14	FI	Finland	2	1	5998	1000	198	0
Ville Seppälä		315737209026761	Facebook	w014	Week 14	FI	Finland	2	1	5997	1000	197	0
Porin seudun Vihreät		260465544619288	Facebook	w014	Week 14	FI	Finland	2	1	5997	1000	198	0
Ihmisoikeusliitto		133459136755839	Facebook	w014	Week 14	FI	Finland	1	1	5994	2997	59	0
Happiness Initiation		642874789462468	Facebook	w014	Week 14	FI	Finland	6	1	5993	0	388	0
Kevin Servin PS - Eduskuntavaaliehdokas		129908594194826	Facebook	w014	Week 14	FI	Finland	6	1	5817	483	384	0
Timo Heinonen - kansanedustaja		271130619606974	Facebook	w014	Week 14	FI	Finland	1	1	5713	2857	56	0
Eduskuntavaaliehdokas Jenni Kiiskinen - Ylöjärven vihreät		393205937720831	Facebook	w014	Week 14	FI	Finland	2	1	5488	1097	108	0
Finanssiala		200454706659092	Facebook	w014	Week 14	FI	Finland	1	1	5454	2727	54	0
Mikael Holmberg		2115418481885183	Facebook	w014	Week 14	FI	Finland	2	1	5169	2397	57	0
Varsinais-Suomen vihreät		208053075878940	Facebook	w014	Week 14	FI	Finland	2	1	5141	857	169	0
Suomen Punainen Risti		116399773126	Facebook	w014	Week 14	FI	Finland	7	1	5006	1792	136	11
Asseri Kinnunen		1159967857373678	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
Svenska folkpartiet i Finland - RKP	Svenska folkpartiet i Finland - RKP	191883307265	Facebook	w014	Week 14	FI	Finland	1	1	4999	2500	49	0
Uudenmaan Liberaalit		456060904825066	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
Sari Hyytiäinen, eduskuntavaaliehdokas 2019		263086794078859	Facebook	w014	Week 14	FI	Finland	1	1	4999	999	99	0
Olli-Poika Parviainen		128538050532321	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
Sirkka-Liisa "Siku" Kähärä		608318885858000	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
Terhi Simonen-Jokinen		2130351360550484	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
Neea Kähkönen		1899005307003815	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
JIPPO Joensuu		117327414977687	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	98	0
Poliitikko Esko Lehtimäki		1602365313332222	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
Eduskuntavaaliehdokas Tiina Koivalo		1692272684406647	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
Hämeen Sosialidemokraatit		1380845418823068	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	99	0
Vasemmistonaiset		232771070103542	Facebook	w014	Week 14	FI	Finland	1	1	4999	999	99	0
Heta Tuura		369861030222943	Facebook	w014	Week 14	FI	Finland	1	1	4999	2500	249	49
Ville Savonlahti		391629677572384	Facebook	w014	Week 14	FI	Finland	1	1	4999	1000	49	10
Anna Jensen		512867835905064	Facebook	w014	Week 14	FI	Finland	2	1	4998	833	165	0
Demos Helsinki		272125556316637	Facebook	w014	Week 14	FI	Finland	1	1	4998	1000	99	0
Maisa Juntunen		342133956180814	Facebook	w014	Week 14	FI	Finland	1	1	4998	999	98	0
Nina Rasola, kansanedustajaehdokas		923513731170649	Facebook	w014	Week 14	FI	Finland	1	1	4998	1000	99	0
Ehdokas Henna Kajava PS		992271077539264	Facebook	w014	Week 14	FI	Finland	1	1	4998	1000	98	0
Lauri Tujula		412789126157769	Facebook	w014	Week 14	FI	Finland	1	1	4998	1000	99	0
Petri Muinonen - 195 Uusimaa		145081348884821	Facebook	w014	Week 14	FI	Finland	1	1	4995	999	98	0
Mikko Savola		129144617101783	Facebook	w014	Week 14	FI	Finland	1	1	4971	2485	49	0
Helena Särkijärvi		578535298893731	Facebook	w014	Week 14	FI	Finland	7	1	4923	0	487	0
Daniel Rahman		531974257265096	Facebook	w014	Week 14	FI	Finland	1	1	4764	953	94	0
Helsingin Vihreät		180192098660221	Facebook	w014	Week 14	FI	Finland	3	1	4664	1333	224	0
Janne Heikkinen		351679088241560	Facebook	w014	Week 14	FI	Finland	2	1	4635	1818	135	0
Kalle Kiili eduskuntaan		525884224104967	Facebook	w014	Week 14	FI	Finland	1	1	4614	2307	45	0
Petra Malin		467512869934888	Facebook	w014	Week 14	FI	Finland	1	1	4550	910	90	0
Noora Koponen		1952930291514917	Facebook	w014	Week 14	FI	Finland	2	1	4498	750	148	0
Elin Blomqvist-Valtonen		454762371229005	Facebook	w014	Week 14	FI	Finland	2	1	4489	698	168	0
Perttu Mikael Hillman		258208220887595	Facebook	w014	Week 14	FI	Finland	1	1	4352	870	86	0
Utua		1491186184489233	Facebook	w014	Week 14	FI	Finland	1	1	4285	2142	42	0
Porin seudun Vihreät		138217202980374	Facebook	w014	Week 14	FI	Finland	2	1	4167	633	161	0
Janne Kaisanlahti		309381625805373	Facebook	w014	Week 14	FI	Finland	2	1	4166	1583	57	0
Anita Westerholm		1461538363888692	Facebook	w014	Week 14	FI	Finland	1	1	3980	796	78	0
Caroline Högel		2567427803329805	Facebook	w014	Week 14	FI	Finland	1	1	3956	791	78	0
Kristillisdemokraatti Pentti Ahopelto Alavus		1864068310518405	Facebook	w014	Week 14	FI	Finland	2	1	3938	787	77	0
Tarja Uusipaasto Jämsän kaupunginvaltuutettu, eduskuntavaaliehdokas		189055498286612	Facebook	w014	Week 14	FI	Finland	1	1	3888	1944	38	0
Hiilivapaa Suomi		1061015477252773	Facebook	w014	Week 14	FI	Finland	1	1	3745	749	74	0
Sanna Antikainen		417579194987109	Facebook	w014	Week 14	FI	Finland	2	1	3706	741	73	0
Savo-Karjalan vihreät		160515170666877	Facebook	w014	Week 14	FI	Finland	5	1	3673	1008	63	0
Keski-Pohjanmaan Keskusta		142185749161366	Facebook	w014	Week 14	FI	Finland	3	1	3475	666	80	0
Guardian Weekly		64525551258	Facebook	w014	Week 14	FI	Finland	4	1	3452	1417	6	2
Jan Vuorenlaakso, Vihreät		1804151529911364	Facebook	w014	Week 14	FI	Finland	1	1	3399	680	67	0
Marko Ekqvist		899967553367075	Facebook	w014	Week 14	FI	Finland	5	1	3396	0	336	0
Vihreä populismi		741814839287095	Facebook	w014	Week 14	FI	Finland	1	1	3332	666	66	0
Elina Rantanen		166145106733802	Facebook	w014	Week 14	FI	Finland	1	1	3332	666	66	0
Kirkon Ulkomaanapu		111005869699	Facebook	w014	Week 14	FI	Finland	3	1	3323	1057	79	0
Eero Suutari		145984218777534	Facebook	w014	Week 14	FI	Finland	1	1	3181	636	63	0
