advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	platform_code_filter	platform_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Nye Borgerlige		AR447862147196649472	Google	g	Google	1	1	10000000	1000000	500	50
Cink, s.r.o.		AR361287976015101952	Google	g	Google	39	1	9840000	970000	5550	400
Venstres Landsorganisation		AR283015942256984064	Google	g	Google	81	1	9000000	850000	433250	8100
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	g	Google	62	1	8990000	860000	38450	1100
UAB "BPN LT"		AR135010682042056704	Google	g	Google	34	1	8800000	880000	4400	300
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	g	Google	79	1	8350000	780000	9350	600
Fondation Populaire		AR320938922932699136	Google	g	Google	24	1	7350000	730000	67850	1750
Pametno		AR222880077921124352	Google	g	Google	42	1	7080000	690000	2100	0
SPOLU - občianska demokracia		AR194838133366325248	Google	g	Google	62	1	6830000	630000	65700	1300
DIE GRÜNEN – DIE GRÜNE ALTERNATIVE		AR330966468978016256	Google	g	Google	276	1	6180000	350000	74150	1050
OBYČAJNÍ ĽUDIA a nezávislé osobnosti (OĽANO)		AR392996516970627072	Google	g	Google	8	1	6110000	610000	92050	1700
Progresívne Slovensko		AR114793686864232448	Google	g	Google	25	1	5380000	530000	3950	300
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	g	Google	37	1	5050000	480000	128400	2750
Strana nezávislosti České republiky		AR465054111008555008	Google	g	Google	15	1	4830000	480000	1200	50
Bündnis90/ Die Grünen		AR207068276079984640	Google	g	Google	135	1	4680000	350000	199950	4500
Fianna Fáil		AR101183107301900288	Google	g	Google	35	1	4580000	440000	4900	350
Rumilus Design Oy		AR391102333313875968	Google	g	Google	32	1	4100000	390000	1600	0
Flamesite s.r.o.		AR522320249995919360	Google	g	Google	210	1	3630000	170000	12750	250
SF - Socialistisk Folkeparti		AR76998249537339392	Google	g	Google	118	1	3250000	210000	69850	1450
DOPRAVA		AR56197688563073024	Google	g	Google	12	1	3180000	310000	92250	1700
CENTERPARTIETS RIKSORGANISATION		AR484881879070146560	Google	g	Google	280	1	2980000	20000	112850	2500
Petteri Rädyn tukiyhdistys ry		AR427131130332839936	Google	g	Google	17	1	2870000	280000	153750	2850
Jukka Kopra		AR232680299937398784	Google	g	Google	13	1	2560000	250000	122250	2200
Socialdemokratiet		AR237678679797268480	Google	g	Google	25	1	2410000	230000	37500	1200
Gestion et Action Libérale		AR201311233196949504	Google	g	Google	210	1	2370000	30000	105750	2100
GREEN DAY, s.r.o		AR423241058193768448	Google	g	Google	57	1	2370000	190000	5550	300
Saku Petteri Räty		AR196651502918434816	Google	g	Google	27	1	2340000	210000	63950	1300
TOP 09		AR268709096956362752	Google	g	Google	156	1	2280000	80000	7800	0
Barcelona en Comú		AR342176264901099520	Google	g	Google	64	1	2260000	170000	5900	300
Sozialdemokratische Partei Österreich		AR89974685768351744	Google	g	Google	9	1	2250000	220000	62150	1200
Start Business Hellas Single Member P.C.		AR513164341793521664	Google	g	Google	2	1	2000000	200000	60000	1000
CDU-Kreisverband Neustadt		AR152876371603881984	Google	g	Google	2	1	2000000	200000	1000	100
Občanská demokratická strana		AR37429025076936704	Google	g	Google	12	1	1920000	190000	4650	450
Teknologia ja tulevaisuus ry		AR340766690994290688	Google	g	Google	22	1	1840000	170000	2900	200
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	g	Google	95	1	1760000	90000	7000	250
Bündnis 90/Die Grünen Baden-Württemberg		AR17917091730423808	Google	g	Google	174	1	1740000	0	10050	150
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	g	Google	12	1	1740000	170000	64550	1450
EUpositive.sk		AR348804120993333248	Google	g	Google	20	1	1640000	150000	1900	100
SPD Berlin		AR257142234632159232	Google	g	Google	16	1	1510000	140000	33000	750
Maria Spyraki		AR80818777565954048	Google	g	Google	11	1	1460000	140000	1900	150
Kresťanská únia		AR358916054556082176	Google	g	Google	13	1	1390000	130000	2450	200
Sozialdemokratische Partei Deutschlands SPD		AR224933965641809920	Google	g	Google	4	1	1300000	130000	2000	200
Nacionālā apvienība "Visu Latvijai!" - "Tēvzemei un Brīvībai/LNNK"		AR420861715031261184	Google	g	Google	8	1	1250000	120000	1300	100
Savo-Karjalan vihreät ry		AR343251587273064448	Google	g	Google	24	1	1230000	110000	1200	0
Coalición electoral Barcelona és Capital - Primàries		AR338953321442181120	Google	g	Google	5	1	1220000	120000	700	50
Projekt Európa		AR303746959120793600	Google	g	Google	56	1	1190000	70000	3700	100
Liberal Alliance Djursland		AR73057599863390208	Google	g	Google	99	1	1080000	10000	5400	50
Partito Democratico		AR254356072167374848	Google	g	Google	26	1	1070000	90000	274450	4900
Hämeen Uusi Suunta ry		AR330633591832707072	Google	g	Google	18	1	900000	80000	64400	1400
Kankaanpään Työväenyhdistys ry		AR217573010171756544	Google	g	Google	25	1	790000	60000	2150	100
Varsinais-Suomen Kokoomus ry		AR199136399197208576	Google	g	Google	51	1	780000	30000	9300	750
European People’s Party		AR308399267695820800	Google	g	Google	31	1	760000	50000	94100	1800
Alternative für Deutschland		AR380456861733748736	Google	g	Google	9	1	630000	60000	2700	250
Unitas		AR53945888749387776	Google	g	Google	49	1	490000	0	2900	50
Yhteinen hyvä ry		AR296997332115783680	Google	g	Google	35	1	440000	10000	3550	200
Vapaus ry		AR124593908880506880	Google	g	Google	24	1	420000	20000	1200	0
MPhilms		AR260140327963197440	Google	g	Google	6	1	420000	40000	750	50
Open VLD		AR350212320510607360	Google	g	Google	40	1	400000	0	2000	0
Maailman Paras Pääkaupunki ry		AR221113437613195264	Google	g	Google	17	1	350000	20000	4900	450
Österreichischer Wirtschaftsbund (ÖWB)		AR248881328894771200	Google	g	Google	16	1	250000	10000	31650	600
Avante Comunicación SL		AR486291452976955392	Google	g	Google	15	1	240000	10000	1200	50
SPÖ-Landesorganisation Burgenland		AR345765070854160384	Google	g	Google	13	1	220000	10000	32850	750
Janika Takatalo		AR113027046556303360	Google	g	Google	16	1	160000	0	1700	100
KW Prawo i Sprawiedliwość		AR32708546780987392	Google	g	Google	16	1	160000	0	800	0
Kristdemokraterna		AR332197922001125376	Google	g	Google	6	1	150000	10000	1650	150
Työlinjalla ry		AR88565111861542912	Google	g	Google	14	1	140000	0	700	0
Morten Dahlin		AR273707476816232448	Google	g	Google	4	1	130000	10000	650	50
Tampereen Vihreät ry		AR4096230569279488	Google	g	Google	13	1	130000	0	650	0
Euroopassa Suomen Tähden ry		AR176823734856843264	Google	g	Google	3	1	120000	10000	600	50
AfD-Kreisverband Braunschweig		AR201649882778304512	Google	g	Google	12	1	120000	0	600	0
COALICIO COMPROMIS:BLOC-INICIATIVA-VERDS		AR564955737508282368	Google	g	Google	3	1	120000	10000	600	50
Michael Aastrup Jensen		AR92226485582036992	Google	g	Google	3	1	120000	10000	600	50
Klassiskt Liberala Partiet		AR214800866480226304	Google	g	Google	3	1	120000	10000	600	50
Let's do it media SRL		AR494327508586463232	Google	g	Google	2	1	110000	10000	100	0
Kommuneforeningen for Venstre i Haderslev Kommune		AR314183523491643392	Google	g	Google	2	1	110000	10000	100	0
Eesti Reformierakond		AR547139251091800064	Google	g	Google	2	1	110000	10000	1000	100
Antikorupcija-platforma za borbu protiv korupcije		AR441827202749693952	Google	g	Google	1	1	100000	10000	50	0
W.R.P.R., s.r.o.		AR111802190602960896	Google	g	Google	1	1	100000	10000	500	50
Freie Demokratische Partei (FDP)		AR134039538396823552	Google	g	Google	1	1	100000	10000	500	50
Studio Montrucchio Capello snc		AR159631771044937728	Google	g	Google	6	1	60000	0	300	0
Dansk Folkeparti - Århus Lokalforening		AR167070242084749312	Google	g	Google	6	1	60000	0	750	50
Venstre Egedalkreds		AR439052860034908160	Google	g	Google	6	1	60000	0	300	0
Uusmaalaisten puolesta ry		AR139371345157816320	Google	g	Google	5	1	50000	0	2050	200
Venstre på Østerbro		AR129592288740376576	Google	g	Google	3	1	30000	0	1050	100
GroenLinks		AR148211418645135360	Google	g	Google	2	1	20000	0	100	0
ADDO DIGITAL IKE		AR15516582969081856	Google	g	Google	2	1	20000	0	100	0
Tėvynės Sąjunga – Lietuvos krikščionys demokratai		AR186518403756851200	Google	g	Google	2	1	20000	0	550	50
Solidarité DéFI		AR156613886504599552	Google	g	Google	2	1	20000	0	550	50
Ioannis Vardakastanis		AR122780539328397312	Google	g	Google	1	1	10000	0	50	0
Volt Nederland		AR24721694316822528	Google	g	Google	1	1	10000	0	50	0
