advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Programy do voleb	Štěpán Ryšavý - Programy do voleb	1033702273421005	Facebook	f	female	CZ	Czechia	1	1	3424	685	2	0
Alexandra Udženija		280617905401953	Facebook	f	female	CZ	Czechia	1	1	3384	1692	65	13
European Greens	European Greens	141366725876424	Facebook	f	female	CZ	Czechia	1	1	3291	658	6	0
ODS Brno	ODS -Občanská demokratická strana	572646052818182	Facebook	f	female	CZ	Czechia	3	1	3122	1090	9	1
Ing.Alexandr Gegalčij, kandidat-Europarlament, Rozumní&Národní Demokracie	Gegalczij Alexandr	386508422184056	Facebook	f	female	CZ	Czechia	1	1	3076	615	11	2
Tom	Tomáš Halva	2692563460759999	Facebook	f	female	CZ	Czechia	1	1	3045	609	11	2
Pascal do europarlamentu	Vecer Michael Pascal	388373825336893	Facebook	f	female	CZ	Czechia	1	1	2740	548	10	2
Lepší Trojka		580757188761372	Facebook	f	female	CZ	Czechia	1	1	2723	544	10	2
Slušní lidé		947847402044555	Facebook	f	female	CZ	Czechia	1	1	2382	1191	9	4
Michal Zuna	Halva Tomas	1167350476752262	Facebook	f	female	CZ	Czechia	1	1	2336	467	9	1
Daniel Herman	Vasek Jiri	378072105614553	Facebook	f	female	CZ	Czechia	2	1	2273	372	16	7
Petr Hladík	KDU-ČSL	1410403182565683	Facebook	f	female	CZ	Czechia	1	1	2169	434	16	8
Hnutí DUHA - Přátelé Země Česká republika	Hnutí DUHA - Přátelé Země Česká republika	58887737763	Facebook	f	female	CZ	Czechia	1	1	2138	427	16	8
Martin Bílek - kandidát do Evropského parlamentu	BILEK MARTIN, Bc.	821968848137300	Facebook	f	female	CZ	Czechia	2	1	2013	323	7	1
Plus, pravicově-konzervativní křídlo		252574801885347	Facebook	f	female	CZ	Czechia	1	1	1952	390	1	0
Moje Evropa	Moje Evropa	1701718886552103	Facebook	f	female	CZ	Czechia	1	1	1937	387	7	1
Leoš Fučík #5 na kandidátce Evropa společně ESO do Evropského parlamentu	Fucik Leos	313913332630446	Facebook	f	female	CZ	Czechia	1	1	1595	319	6	1
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	f	female	CZ	Czechia	2	1	1532	473	20	0
David Bartas	Bartas David	896486153741991	Facebook	f	female	CZ	Czechia	5	1	1528	220	5	0
Jsem hrdý Slovan		214437865669111	Facebook	f	female	CZ	Czechia	1	1	1448	289	5	1
Radim Sršeň	Kuba Patrik	201535993705342	Facebook	f	female	CZ	Czechia	1	1	1403	280	1	0
Libor Michálek		140406832679685	Facebook	f	female	CZ	Czechia	1	1	1335	267	5	1
Marek Benda	Hopp Alan	128577896275	Facebook	f	female	CZ	Czechia	1	1	1106	221	42	8
Senátor Václav Hampl	Höfer Karel	524288824339961	Facebook	f	female	CZ	Czechia	1	1	1101	220	4	0
Koalicja Europejska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	3116013818724635	Facebook	f	female	CZ	Czechia	7	1	1070	214	2	0
Charita ve světě		849315472073267	Facebook	f	female	CZ	Czechia	2	1	1067	0	4	0
European Free Alliance	European Free Alliance	46708306425	Facebook	f	female	CZ	Czechia	2	1	1003	366	18	3
Mona Nechvátalová - hnutí HLAS		2136921333063029	Facebook	f	female	CZ	Czechia	1	1	999	0	88	0
