advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
USR - Vârfu Câmpului		426910688111310	Facebook	m	male	RO	Romania	1	1	3532	706	14	0
PNL Constanţa	PNL Constanţa	422079857963680	Facebook	m	male	RO	Romania	1	1	3401	680	14	0
Identitatea Românească	Identitatea Românească	100519536734073	Facebook	m	male	RO	Romania	1	1	3206	641	13	0
Partidul Mișcarea Populară Cluj	Partidul Miscarea Populara	1424043861019646	Facebook	m	male	RO	Romania	5	1	3021	0	62	0
Radu Miruţă	Uniunea Salvați România	348610102203573	Facebook	m	male	RO	Romania	1	1	2896	579	12	0
Florin Bivol		2253449691332190	Facebook	m	male	RO	Romania	1	1	2793	558	11	0
Orasul Popesti-Leordeni		501069749993963	Facebook	m	male	RO	Romania	1	1	2715	543	11	0
Lazar I. Bogdan		363615250703159	Facebook	m	male	RO	Romania	1	1	2651	530	11	0
Gabriela Mirescu		2618888988127707	Facebook	m	male	RO	Romania	4	1	2625	1230	35	0
USR Adamclisi	Uniunea Salvați România filiala Constanța	3164262100266293	Facebook	m	male	RO	Romania	1	1	2509	501	10	0
PNL Valea Lupului		874083992702811	Facebook	m	male	RO	Romania	1	1	2470	494	10	0
Partidul Mișcarea Populară Dej	Partidul Miscarea Populara	490109671392341	Facebook	m	male	RO	Romania	4	1	2430	0	50	0
Apjok Norbert		772526286220198	Facebook	m	male	RO	Romania	1	1	2313	462	9	0
Professional Clean		408558946617159	Facebook	m	male	RO	Romania	1	1	1834	366	7	0
Filip Moisil		829046887457939	Facebook	m	male	RO	Romania	1	1	1316	263	5	0
Partidul Mișcarea Populară Gherla	Partidul Miscarea Populara	232937900984571	Facebook	m	male	RO	Romania	2	1	1248	0	26	0
Stop AAAS Ro		1640996242671731	Facebook	m	male	RO	Romania	2	1	1117	0	73	0
Chelemen Paula's Arts		1439238726174511	Facebook	m	male	RO	Romania	1	1	999	0	0	0
Susțin PRO România Câmpulung Muscel		297751147530961	Facebook	m	male	RO	Romania	2	1	953	0	19	0
Vaslui pentru integritate		264022660693842	Facebook	m	male	RO	Romania	1	1	861	0	17	0
Expirat		116581321703582	Facebook	m	male	RO	Romania	2	1	783	0	16	0
USR Ovidiu	Uniunea Salvați România filiala Constanța	311695959686140	Facebook	m	male	RO	Romania	1	1	694	0	14	0
Big News Buzz		125179374733697	Facebook	m	male	RO	Romania	1	1	678	339	3	1
Avocat Dr. Ivan Dragos Lucian		928670197334906	Facebook	m	male	RO	Romania	1	1	659	0	58	0
Constanta 100%		482887325059745	Facebook	m	male	RO	Romania	1	1	643	0	13	0
Eurozine		115579498521257	Facebook	m	male	RO	Romania	1	1	572	114	11	0
George Moldovan		191424968074908	Facebook	m	male	RO	Romania	1	1	559	0	11	0
Daniel Marinac		191781881583981	Facebook	m	male	RO	Romania	1	1	539	0	47	0
Andrei Ivan		2347430905484156	Facebook	m	male	RO	Romania	1	1	526	0	10	0
La Pensie		1092535407579725	Facebook	m	male	RO	Romania	1	1	519	0	10	0
La Florin - magazin mixt		215582291878938	Facebook	m	male	RO	Romania	1	1	499	0	10	0
Comunitatea PLUS+ Jucu		371511120359966	Facebook	m	male	RO	Romania	1	1	494	0	10	0
USR Mircești		423957871440628	Facebook	m	male	RO	Romania	1	1	483	0	10	0
USR Timiș		873737539404529	Facebook	m	male	RO	Romania	1	1	478	0	9	0
Partidul Mișcarea Populară Huedin	Partidul Miscarea Populara	225050644925789	Facebook	m	male	RO	Romania	1	1	476	0	9	0
Partidul Mișcarea Populară Florești	Partidul Miscarea Populara	2093436807582434	Facebook	m	male	RO	Romania	1	1	459	0	9	0
Cabinet Avocat Iulian Nedelcu		957756844612733	Facebook	m	male	RO	Romania	1	1	416	0	8	0
Justice for Daphne Caruana Galizia		245601565462724	Facebook	m	male	RO	Romania	2	1	356	0	35	0
Calculat si linistit		821298314618173	Facebook	m	male	RO	Romania	1	1	318	0	6	0
ITUC		20556338116	Facebook	m	male	RO	Romania	2	1	181	0	17	0
Demokratikus Koalíció	Demokratikus Koalíció	169599166463839	Facebook	m	male	RO	Romania	5	1	82	24	0	0
Ujhelyi István dr.	MSZP	734217673259088	Facebook	m	male	RO	Romania	2	1	79	39	0	0
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	m	male	RO	Romania	1	1	50	10	0	0
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	m	male	RO	Romania	3	1	27	12	0	0
نداء الحرب 3: امبراطورية الفولاذ		1896641773933197	Facebook	m	male	RO	Romania	1	1	25	10	0	0
Ayn Rand Institute		64676229680	Facebook	m	male	RO	Romania	1	1	15	0	1	0
No more bricks in the Wall		1854947667901523	Facebook	m	male	RO	Romania	1	1	13	0	1	0
Simon Miklós országgyűlési képviselő	Dr. Simon Miklós	1792920094355738	Facebook	m	male	RO	Romania	1	1	5	1	0	0
Eurolapins	Pulse of Europe France	755726434768654	Facebook	m	male	RO	Romania	1	1	4	0	0	0
Tom MacDonald		212732770186	Facebook	m	male	RO	Romania	1	1	2	0	0	0
The Years Project	The Years Project	168876449866088	Facebook	m	male	RO	Romania	1	1	1	0	0	0
Tokyo Weekender		134654693230171	Facebook	m	male	RO	Romania	1	1	1	0	0	0
Avaaz	Avaaz	8340223883	Facebook	m	male	RO	Romania	1	1	0	0	0	0
