advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Roberto Battiston in Europa	Corrado Denaro	1088184664716532	Facebook	65_	65+	IT	Italy	4	1	67127	26241	260	46
Carla Franchini	MIRTA QUAGLIAROLI, Mandatario elettorale del candidato  Carla Franchini	686106498236150	Facebook	65_	65+	IT	Italy	5	1	66934	13387	366	58
Federico Pizzarotti	Federico Pizzarotti	258372870902870	Facebook	65_	65+	IT	Italy	8	1	65749	14518	229	15
Antonio Brunetto	Antonio Brunetto	1906734892742698	Facebook	65_	65+	IT	Italy	8	1	62987	17566	442	81
Elisabetta Gardini	Elisabetta Gardini	114266221965026	Facebook	65_	65+	IT	Italy	8	1	62975	13588	277	24
Elisabetta Gualmini	Elisabetta Gualmini	822028764839310	Facebook	65_	65+	IT	Italy	14	1	62802	28426	336	93
Genova che osa	Genova che osa	1538926219695299	Facebook	65_	65+	IT	Italy	14	1	62743	16223	258	0
Alessandro Panza	Alessandro Panza	394832128017774	Facebook	65_	65+	IT	Italy	3	1	62515	22750	269	49
Matteo Renzi	Matteo Renzi	113335124914	Facebook	65_	65+	IT	Italy	5	1	61435	20368	210	25
Alternativa Popolare		174312339435062	Facebook	65_	65+	IT	Italy	4	1	61398	26952	189	23
Marco Ciurcina	Marco Ciurcina	554685015057710	Facebook	65_	65+	IT	Italy	7	1	60552	23291	446	78
Alessandra Senatore	Domenico Campeglia	668311250269031	Facebook	65_	65+	IT	Italy	21	1	60337	13497	439	0
Ugo Tozzi	Ugo Tozzi	938644779543922	Facebook	65_	65+	IT	Italy	12	1	59452	21023	340	26
Ilenia Rento		316884152265156	Facebook	65_	65+	IT	Italy	18	1	59335	16208	538	53
Federazione Verdi	Federazione Verdi	142589879147197	Facebook	65_	65+	IT	Italy	17	1	58884	12549	236	10
Europa Verde	Europa Verde	593847704462763	Facebook	65_	65+	IT	Italy	13	1	58373	22046	321	16
Stefano Pastorelli - Lega	Stefano Pastorelli	42425772121	Facebook	65_	65+	IT	Italy	3	1	57648	22024	132	17
Orlando Amodeo per Europa Verde	Orlando Amodeo	397286324156859	Facebook	65_	65+	IT	Italy	5	1	57627	18394	460	92
Salvatore Barbagallo	The Flag srl	428552284374545	Facebook	65_	65+	IT	Italy	8	1	56511	12704	472	71
Stefano Passarini	Stefano Passarini	573828172688916	Facebook	65_	65+	IT	Italy	24	1	56297	15562	358	0
Alessandra Basso al Parlamento Europeo	Alessandra Basso	613417015791230	Facebook	65_	65+	IT	Italy	7	1	56214	12568	315	40
Federico Perugini	Federico Perugini	356449288308129	Facebook	65_	65+	IT	Italy	33	1	54721	17619	825	87
Mario Razzanelli		266772436839839	Facebook	65_	65+	IT	Italy	2	1	52924	26462	182	36
Marco Grimaldi	Marco Grimaldi	619956731519414	Facebook	65_	65+	IT	Italy	7	1	52234	12492	283	23
Monica Cerutti	Monica Cerutti 	331398250994	Facebook	65_	65+	IT	Italy	3	1	52131	18391	183	26
Prof Luca Avagnina	Avagnina Luca	1081529978655352	Facebook	65_	65+	IT	Italy	8	1	51450	11559	492	48
Renate Holzeisen	Team Köllensperger	840785932926956	Facebook	65_	65+	IT	Italy	26	1	50212	13931	180	14
Michela Sciurpa	Michela Sciurpa tramite mandatario elettorale Gian Luca Laurenzi, nato a Perugia il 21.09.1964 LRNGLC64P21G478O con nomina ed accettazione depositata il data 09.04.2019 alla Corte d’Appello di Perugia	317033212339928	Facebook	65_	65+	IT	Italy	6	1	49309	18748	220	33
Antonio Tajani	Antonio Tajani	506531149512596	Facebook	65_	65+	IT	Italy	7	1	49087	9817	211	24
Elisabetta Fatuzzo	Elisabetta Fattuzo	648451052262295	Facebook	65_	65+	IT	Italy	4	1	48496	10555	541	79
Salvatore Cicu	Salvatore Cicu	229261087280641	Facebook	65_	65+	IT	Italy	5	1	48428	21603	205	31
Paolo Borchia	Paolo Borchia	577383699442272	Facebook	65_	65+	IT	Italy	5	1	47902	20874	252	89
Sindaco di Avola - Luca Cannata	Avola la nostra terra	560317800682461	Facebook	65_	65+	IT	Italy	7	1	47742	9842	102	0
Andrea Soddu Sindaco	Andrea Soddu	1438178299829574	Facebook	65_	65+	IT	Italy	12	1	46567	10128	331	0
Simona Baldassarre	Simona Baldassarre	407861879769918	Facebook	65_	65+	IT	Italy	23	1	46401	12482	607	0
Matteo Iannitti	Ianniti Matteo Domenico	321246931898034	Facebook	65_	65+	IT	Italy	10	1	46176	11811	189	0
Gianantonio Da Re		423472904417850	Facebook	65_	65+	IT	Italy	4	1	45987	19846	51	6
Siamo Europei Padova	Siamo Europei	445280926043270	Facebook	65_	65+	IT	Italy	1	1	45978	22989	229	114
Andrea Delmastro	Davide Eugenio Zappalà	74110200741	Facebook	65_	65+	IT	Italy	9	1	45901	9180	199	0
Domenico Finiguerra	Domenico Finiguerra	41123718703	Facebook	65_	65+	IT	Italy	6	1	45456	12655	208	12
Matteo Adinolfi	News-24.it	308719606486381	Facebook	65_	65+	IT	Italy	8	1	45003	11851	190	0
Aldo Modonesi	Comitato Elettorale Aldo Modonesi Sindaco	300621720600910	Facebook	65_	65+	IT	Italy	8	1	44855	9700	163	13
Costanza Hermanin	Costanza Hermanin 	1424214351021211	Facebook	65_	65+	IT	Italy	6	1	44525	16546	94	5
Andrea Togno - Candidato M5S Elezioni Europee	Andrea Togno	364157860884983	Facebook	65_	65+	IT	Italy	11	1	44429	10638	358	43
Sergio Pirozzi		138470909670284	Facebook	65_	65+	IT	Italy	2	1	43211	18389	37	6
Lia Orfei	Lia Orfei	574133089748488	Facebook	65_	65+	IT	Italy	10	1	42619	9611	207	11
Ubaldo Bocci	Ubaldo Bocci	549986188855910	Facebook	65_	65+	IT	Italy	4	1	42551	13730	274	51
Geri Ballo	Gerarta Ballo	2261381937462680	Facebook	65_	65+	IT	Italy	13	1	42500	13916	275	18
Stefano Ciccone con La Sinistra al Parlamento Europeo	Stefano Ciccone	2125577980861018	Facebook	65_	65+	IT	Italy	12	1	42057	15761	375	0
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	65_	65+	IT	Italy	10	1	42031	8752	92	0
Nicola Magi	Nicola Magi	329290881102446	Facebook	65_	65+	IT	Italy	5	1	41865	19205	45	6
Verdi Firenze	VERDI FIRENZE	237052423729117	Facebook	65_	65+	IT	Italy	8	1	41615	8699	101	0
Antonio Castello	Antonio Castello	452764018806467	Facebook	65_	65+	IT	Italy	7	1	41195	8176	202	22
Fabio Candalice	Fabio Candalice	929896213793987	Facebook	65_	65+	IT	Italy	8	1	40016	8003	209	18
