platform_code_filter	platform_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f	Facebook	Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	285	1	9880715	3508000	79256	21129
f	Facebook	PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	87	1	9707913	4078000	63213	15600
f	Facebook	Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	205	1	9607795	3489000	39095	4800
f	Facebook	Right To Vote	Right to Vote	408236463256774	Facebook	358	1	9484642	2394000	80704	12150
f	Facebook	Referendum Commission		580832208630212	Facebook	28	1	9464972	4293000	62872	13100
f	Facebook	Dungeon Defenders		107960282569653	Facebook	311	1	9380689	3587000	44763	5073
f	Facebook	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	54	1	9348946	4015000	17046	3200
f	Facebook	Greenpeace España	Greenpeace España	133044800622	Facebook	163	1	9016837	3287000	28337	3600
f	Facebook	Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	148	1	8955852	3181000	63127	13307
f	Facebook	Andreas Schieder	SPÖ	290881691011354	Facebook	165	1	8889835	2881000	70635	13600
f	Facebook	Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	197	1	8796803	3181000	16925	5578
f	Facebook	Vattenfall Sverige		608975645850217	Facebook	28	1	8720972	3980000	106227	30467
f	Facebook	Sign for my Future		1345513882259768	Facebook	75	1	8702925	3652000	64225	14600
f	Facebook	Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	164	1	8626836	3631000	36436	6200
f	Facebook	Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	87	1	8536913	3596000	21624	8553
f	Facebook	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	86	1	8419914	3532000	39214	8100
f	Facebook	Médecins du Monde France		265420476920	Facebook	965	1	8351035	2715000	123138	9178
f	Facebook	Claudia Gamon	NEOS	447992848717452	Facebook	268	1	8330732	2855000	56432	9400
f	Facebook	Gazeta Wyborcza		63563473556	Facebook	386	1	8223614	2717000	19032	2814
f	Facebook	kontrast.at	kontrast.at	1079650008770485	Facebook	104	1	8091896	3235000	42696	13600
f	Facebook	PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	71	1	7746929	3327000	23229	4100
f	Facebook	Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	139	1	7695861	2814000	36161	5600
f	Facebook	Groen	Groen	84920854319	Facebook	180	1	7672820	2707000	37220	5400
f	Facebook	RMDSZ	RMDSZ	102601499822802	Facebook	207	1	7588793	2273000	10671	1890
f	Facebook	Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	43	1	7399957	3172000	56421	11687
f	Facebook	Avaaz	Avaaz	8340223883	Facebook	43	1	7192957	3333000	42721	9254
f	Facebook	Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	50	1	7171950	3195000	11150	2100
f	Facebook	DIE LINKE	DIE LINKE	47694585682	Facebook	257	1	7134743	2514000	35143	2700
f	Facebook	Greens/EFA in the European Parliament		150527751674751	Facebook	58	1	7091942	3051000	10684	1869
f	Facebook	ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	37	1	7079963	3195000	9446	2626
f	Facebook	Peter Mertens	PVDA	236485149843971	Facebook	573	1	7073427	2057000	84427	8300
f	Facebook	Parlement européen en France	Parlement européen en France	279757933824	Facebook	72	1	7019928	2695000	28728	7600
f	Facebook	John Crombez	sp.a	264131406977201	Facebook	85	1	6938915	2756000	41415	8300
f	Facebook	Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	186	1	6892814	2162000	37114	5500
f	Facebook	Europees Parlement Nederland		270788920480	Facebook	49	1	6842951	2934000	62051	15800
f	Facebook	Greenpeace UK	Greenpeace UK 	9250349228	Facebook	138	1	6749862	2483000	52492	10877
f	Facebook	LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	89	1	6747911	2713000	8136	2259
f	Facebook	Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	19	1	6739981	3210000	9487	2023
f	Facebook	Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1318	1	6682682	1466000	148082	4400
f	Facebook	Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	38	1	6634962	2943000	13462	2700
f	Facebook	Compromís	Compromís	194053080624605	Facebook	51	1	6586949	2776000	26749	5800
f	Facebook	MSZP	MSZP	115388925185513	Facebook	65	1	6571935	2801000	11111	4640
f	Facebook	Facebook Brussels	Facebook	287739491272583	Facebook	18	1	6555982	2831000	63660	16300
f	Facebook	Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	58	1	6350942	2560000	12210	4243
f	Facebook	Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	63	1	6337937	2712000	8337	800
f	Facebook	Save the Children España	Save the Children España	57845333112	Facebook	19	1	6309981	2995000	36781	8200
f	Facebook	SP	SP	128393027527	Facebook	161	1	6258839	2432000	72039	13600
f	Facebook	Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	39	1	6224961	2931000	20014	5189
f	Facebook	Klang der Solidarität		385076005313967	Facebook	88	1	6108912	2526000	13896	1780
f	Facebook	Apodemia		115927088504184	Facebook	22	1	6100978	2740000	2978	200
f	Facebook	Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	185	1	5892815	1741000	19515	300
f	Facebook	HC Strache	FPÖ	74865038590	Facebook	79	1	5838921	2436000	38421	10500
f	Facebook	Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	79	1	5814921	2375000	112821	25500
f	Facebook	Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	714	1	5766286	1393000	79086	2100
f	Facebook	Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	37	1	5679963	2477000	6863	800
f	Facebook	Banque mondiale		155174084508744	Facebook	107	1	5677893	2163000	10141	178
f	Facebook	Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	71	1	5607929	2297000	28729	7400
f	Facebook	Campact e.V.	Campact e.V.	82734241364	Facebook	34	1	5560966	2315000	35966	8900
f	Facebook	Die Grünen	Die Grünen	21759893033	Facebook	101	1	5549899	1788000	41799	7500
f	Facebook	Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	236	1	5525764	2116000	43964	8500
f	Facebook	En Comú Podem	En Comú Podem	463627663844039	Facebook	54	1	5403946	2260000	18746	5000
f	Facebook	Roberta Metsola		406824526101449	Facebook	473	1	5350527	1645000	57027	2100
f	Facebook	Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	608	1	5323392	1568000	66192	1500
f	Facebook	Centerpartiet	Centerpartiet	12690894340	Facebook	154	1	5290846	1868000	68672	16308
f	Facebook	Scientists for EU	Scientists for EU	642444842524195	Facebook	62	1	5260938	1775000	37652	6595
f	Facebook	Katarina Barley	SPD	1522202731410785	Facebook	337	1	5215663	1455000	43363	2500
f	Facebook	London Labour Party	The London Labour Party 	474613052643462	Facebook	86	1	5212914	1925000	49428	10761
f	Facebook	Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	344	1	5211656	1363000	39956	2300
f	Facebook	Humble Household		1746853745395190	Facebook	53	1	5155947	2085000	50591	12872
f	Facebook	Primes écologique		152399322377561	Facebook	19	1	5154981	2131000	60081	12900
f	Facebook	Roberto Rosso		1735684256653359	Facebook	47	1	5130953	2167000	28553	6900
f	Facebook	Lilian Marijnissen	SP	844559615710915	Facebook	59	1	5092941	2125000	26041	6200
f	Facebook	D66	D66	52985377549	Facebook	45	1	5049955	2013000	32855	7300
f	Facebook	SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	187	1	5003813	1694000	36113	5000
f	Facebook	Ayuda LGTB		315021912539118	Facebook	51	1	4994949	2083000	31649	6300
f	Facebook	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	131	1	4951869	1766000	57169	12900
f	Facebook	Amnesty International UK		7624294394	Facebook	92	1	4933908	2129000	45023	14464
f	Facebook	Alfred Sant	Alfred Sant	537789116260209	Facebook	114	1	4921886	1852000	20986	2700
f	Facebook	La Prime Énergie		336155273400553	Facebook	28	1	4920972	1954000	43872	9800
f	Facebook	Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	33	1	4914967	2071000	54774	14650
f	Facebook	PSOE Aragón	PSOE Aragón	170970449608409	Facebook	3586	1	4896414	393000	355414	100
f	Facebook	Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	61	1	4849939	1992000	21739	4800
f	Facebook	IKEA	IKEA	112961202185776	Facebook	78	1	4840922	1801000	18422	3500
f	Facebook	Guardian Weekly		64525551258	Facebook	30	1	4830970	1962000	23456	5438
f	Facebook	EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	106	1	4762894	1626000	14894	1100
f	Facebook	The Week UK	The Week	177855115588808	Facebook	141	1	4635859	1685000	43810	7984
f	Facebook	TheArticle	TheArticle	607840469632004	Facebook	26	1	4625974	2051000	41165	9836
f	Facebook	Lara Comi	Lara Comi	155619044465389	Facebook	91	1	4610909	1409000	16309	3200
f	Facebook	Instant PPI UK		616112792139038	Facebook	73	1	4554927	1696000	44530	10236
f	Facebook	EU-kommissionen i Sverige		155824787799	Facebook	18	1	4535982	2183000	19649	4760
f	Facebook	School Cuts	National Education Union	871798409656672	Facebook	155	1	4516845	1085000	44603	6711
f	Facebook	Covestro		150793518281117	Facebook	16	1	4510984	1975000	8384	2800
f	Facebook	Delphinus		20411877802	Facebook	11	1	4505989	2200000	2037	267
f	Facebook	Medici Senza Frontiere		65737832194	Facebook	26	1	4476974	1881000	17874	5800
f	Facebook	Alex Salmond	Slainte Media	136191876445102	Facebook	90	1	4476910	1649000	20956	2661
f	Facebook	Δημήτρης Καιρίδης-Dimitris Kairidis	Dimitrios Kairidis	165710610795923	Facebook	306	1	4473694	1353000	31494	300
f	Facebook	Krzysztof Hetman	Krzysztof Hetman	1607487699534202	Facebook	70	1	4454930	1784000	8367	1858
f	Facebook	Socialdemokraterna	Socialdemokraterna	8040892957	Facebook	129	1	4414871	1185000	45597	12251
f	Facebook	Prawo i Sprawiedliwość	Komitet Wyborczy Prawo i Sprawiedliwość	157458232131	Facebook	14	1	4413986	2172000	5277	1093
f	Facebook	CGTN		565225540184937	Facebook	7	1	4399993	2100000	3109	623
f	Facebook	Vote For Your Future	Vote For Your Future	2026046207505845	Facebook	26	1	4394974	1910000	32718	6133
f	Facebook	Europäisches Parlament Österreich		124468054313069	Facebook	35	1	4394965	1825000	18065	6400
f	Facebook	Collectif : Féministes contre le cyberharcèlement		1026099724099181	Facebook	92	1	4367908	1670000	10308	300
f	Facebook	Podem	Unides Podem-Esquerra Unida	792238440859918	Facebook	47	1	4298953	1835000	20153	6900
f	Facebook	Česká pirátská strana	Česká pirátská strana	109323929038	Facebook	108	1	4291892	1683000	13449	3439
f	Facebook	Michal Šimečka • Progresívne Slovensko		194278021265803	Facebook	262	1	4251738	1205000	30438	1400
f	Facebook	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	102	1	4245898	1400000	13698	900
f	Facebook	Wacky Politicians	Ladbrokes Belgium	325449998160769	Facebook	87	1	4241913	1639000	11013	600
f	Facebook	Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	107	1	4232893	1376000	27393	4800
f	Facebook	España Ciudadana		349800235527721	Facebook	18	1	4220982	1850000	21182	5000
f	Facebook	Andy Street	The Conservative Party	625464517632792	Facebook	591	1	4198409	1228000	76963	2314
f	Facebook	Oxfam Novib		115289021825188	Facebook	39	1	4167961	1698000	56761	17700
f	Facebook	Ministère de l'Intérieur		103146727990	Facebook	32	1	4117968	1710000	21468	5000
f	Facebook	INBOX	New Digital Media	369693523475596	Facebook	36	1	4074964	1757000	4764	300
f	Facebook	The Bamboo Brush Society		1152885191422950	Facebook	82	1	4064918	1556000	19018	2500
f	Facebook	Facebook	Facebook	726281677519881	Facebook	5	1	4009995	2005000	20095	4000
f	Facebook	Matthew Hussey		525275707491504	Facebook	51	1	4008949	1713000	43837	8723
f	Facebook	Dan Lok		998837360158985	Facebook	62	1	3948938	1658000	139872	34803
f	Facebook	Save the Refugees		1931458237163388	Facebook	67	1	3933933	1338000	24952	4361
f	Facebook	Make.org	Make.org	122037308191612	Facebook	63	1	3885937	1622000	30837	6300
