advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kassai Dániel		718311241527566	Facebook	rw4	Last 4 weeks	1	1	49999	9999	30	15
Ekonomska klinika		759896740773225	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
IVG : vous hésitez ? Venez en parler !		301330928866	Facebook	rw4	Last 4 weeks	1	1	49999	10000	499	100
Meribottles		670583893288419	Facebook	rw4	Last 4 weeks	1	1	49999	10000	98	0
Γιώργος Δέδες		1473374086227997	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Miłosława - Miłka Stępień	KKW Koalicja Europejska PO PSL SLD .N Zieloni	1045756882124385	Facebook	rw4	Last 4 weeks	1	1	49999	10000	116	23
Repatriot		879370445455346	Facebook	rw4	Last 4 weeks	1	1	49999	10000	88	0
Vänsterpartiet Örebro		297546973785228	Facebook	rw4	Last 4 weeks	1	1	49999	10000	462	92
Vědci pro Českou republiku		366846114139594	Facebook	rw4	Last 4 weeks	1	1	49999	10000	194	38
South Ribble Labour	Paul Andrew Foster	169063496458710	Facebook	rw4	Last 4 weeks	1	1	49999	10000	114	0
Samsung Electronics		282891378780895	Facebook	rw4	Last 4 weeks	1	1	49999	10000	75	37
Einhell Italia		1049738265167078	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Lo que de verdad importa		2267123640272827	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Impiantista Imprenditore		397145840706249	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Giulio Terzi		392924770773761	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
N-VA Roeselare	Nieuw-Vlaamse Alliantie	168411579894593	Facebook	rw4	Last 4 weeks	1	1	49999	10000	99	0
Ανταρσία στο Αιγαίο - Αντικαπιταλιστική Αριστερά		374325779962138	Facebook	rw4	Last 4 weeks	1	1	49999	9999	98	0
Best for Doncaster	#ProjectHope	2113053428786458	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
Selby for Europe	Scientists for EU	1523133997705174	Facebook	rw4	Last 4 weeks	1	1	49999	10000	577	115
