advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Frederik Bloch Münster	Det Konservative Folkeparti	161801967707312	Facebook	m	male	DK	Denmark	7	1	87486	21678	537	189
Erling Bonnesen	Bonnesen Erling Faber	390925417751473	Facebook	m	male	DK	Denmark	10	1	87010	19281	791	178
Mette Thiesen	Mette Thiesen	718327901589937	Facebook	m	male	DK	Denmark	15	1	86865	26493	1213	361
Nicolai Wammen	Socialdemokratiet	1458354184437993	Facebook	m	male	DK	Denmark	97	1	85038	11678	949	95
Henrik Sass Larsen	Socialdemokratiet	530069377053107	Facebook	m	male	DK	Denmark	14	1	82792	22467	568	210
Skole og Forældre	Skole og Forældre	113241872062337	Facebook	m	male	DK	Denmark	4	1	79996	25000	267	53
Sissel van Run-Kvist	Kvist Sissel	176580099127279	Facebook	m	male	DK	Denmark	19	1	78503	14789	712	145
Michael Aastrup Jensen	Jensen Michael Aastrup	389665107805619	Facebook	m	male	DK	Denmark	15	1	78209	17094	338	67
Morten Messerschmidt	Morten Messerschmidt	111394892261429	Facebook	m	male	DK	Denmark	3	1	77334	15467	768	173
Casper Pedersen	Pedersen Casper	2252326791657399	Facebook	m	male	DK	Denmark	13	1	77210	23352	506	145
Ida Auken	Ida Auken	24352982198	Facebook	m	male	DK	Denmark	9	1	74392	17197	653	171
Isabella Arendt	Kristendemokraterne	231609407194100	Facebook	m	male	DK	Denmark	4	1	73035	19308	1342	268
Merete Scheelsbeck	Scheelsbeck Merete Elizabeth	1477361382543402	Facebook	m	male	DK	Denmark	6	1	73025	19940	1662	352
Hizb ut Tahrir Skandinavien	Shoaib Umais Usman	256932138237638	Facebook	m	male	DK	Denmark	2	1	72361	14472	138	53
Our Europe - Vores Europa	Vores Europa	255229414620957	Facebook	m	male	DK	Denmark	5	1	70361	14072	304	108
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	m	male	DK	Denmark	35	1	69841	14241	1333	90
Steffen Mølgaard	Det Konservative Folkeparti	1902645456721589	Facebook	m	male	DK	Denmark	8	1	66813	15915	1128	238
Lise Bech - Dansk Folkeparti	Bech Lise	665462313475794	Facebook	m	male	DK	Denmark	3	1	66704	15131	892	202
VoteEuropa Danmark	Channirr Rizwana Shah	325480551446041	Facebook	m	male	DK	Denmark	4	1	66684	13235	892	177
Laura Lindahl	Laura Lindahl	504310436316194	Facebook	m	male	DK	Denmark	27	1	65963	10345	886	139
Christel Schaldemose	Christel Schaldemose	424159230945271	Facebook	m	male	DK	Denmark	13	1	65265	20934	1097	259
Amnesty International Danmark	Amnesty International Danmark	36664432940	Facebook	m	male	DK	Denmark	5	1	64294	13987	675	150
Steffen Sjørslev - Liberal Alliance	Sjorslev Steffen	339937129764672	Facebook	m	male	DK	Denmark	3	1	64249	12850	860	172
Venstres Ungdom - VU	Venstres Ungdom - VU	167412043730	Facebook	m	male	DK	Denmark	9	1	63987	18615	905	288
Marianne Vind	Marianne Vind	329236874385098	Facebook	m	male	DK	Denmark	18	1	63682	18942	1088	268
Andreas Steenberg	Streenberg Andreas Frost	132364993978468	Facebook	m	male	DK	Denmark	19	1	63305	17848	483	150
Rasmus Norup	Det Konservative Folkeparti	1662803373975162	Facebook	m	male	DK	Denmark	4	1	62792	12412	559	131
Eva Kjer Hansen	Hansen Eva Kjer	331049873725952	Facebook	m	male	DK	Denmark	1	1	61438	30719	411	82
Rune Christiansen - Radikale Venstre	Christiansen Rune	170821413115387	Facebook	m	male	DK	Denmark	6	1	60530	13686	509	120
Theresa Scavenius	Theresa Scavenius	406921453049822	Facebook	m	male	DK	Denmark	14	1	60337	17709	806	237
Alternativet - Storkreds København	Alternativet	1645812852307131	Facebook	m	male	DK	Denmark	5	1	59605	11921	517	136
Joachim Hjorting	Det Konservative Folkeparti	1476612932380077	Facebook	m	male	DK	Denmark	5	1	59033	14540	790	194
Jacob Mark	SF	69985338410	Facebook	m	male	DK	Denmark	7	1	58530	14695	177	63
Peter Skaarup	Dansk Folkeparti	691707047549076	Facebook	m	male	DK	Denmark	2	1	57580	11516	770	154
Kristian Thulesen Dahl	Dansk Folkeparti	531761723507375	Facebook	m	male	DK	Denmark	2	1	57544	28272	770	378
Danske Bank	Danske Bank	130388840342741	Facebook	m	male	DK	Denmark	3	1	57224	13153	175	76
Naser Khader	Naser Khader	1995019340791443	Facebook	m	male	DK	Denmark	2	1	54495	27001	394	78
Dansk Magisterforening	Dansk Magisterforening	314676938743	Facebook	m	male	DK	Denmark	9	1	54196	15211	309	84
Rune Frøding	Frøding Rune	493940517678048	Facebook	m	male	DK	Denmark	8	1	53892	14690	810	244
Philip Tarning-Andersen	Tarning-Andersen Philip	1546391055463179	Facebook	m	male	DK	Denmark	4	1	53280	14414	229	96
SF Ungdom	SF Ungdom	113555862534	Facebook	m	male	DK	Denmark	7	1	53122	22073	168	47
Claus Hasselmann - Folketingskandidat	Hasselmann Claus	611297145887529	Facebook	m	male	DK	Denmark	5	1	52987	14710	196	62
Oxfam IBIS	Oxfam IBIS	144965885963	Facebook	m	male	DK	Denmark	6	1	52699	25415	1332	403
Camilla Hersom - Radikale Venstre	Hersom Camilla	425927674119415	Facebook	m	male	DK	Denmark	3	1	51403	11717	609	295
Søren Valgreen Knudsen - Folketingskandidat	Knudsen Soren Valgreen	1727075740642843	Facebook	m	male	DK	Denmark	14	1	50973	12298	398	90
Lise Müller	Müller Lise	145989963343	Facebook	m	male	DK	Denmark	7	1	50872	21417	342	73
Fatma Øktem	Fatma Øktem	1695475020740767	Facebook	m	male	DK	Denmark	11	1	50633	11676	392	77
Alternativet Nordjylland	Alternativet Nordjylland	1434894720136798	Facebook	m	male	DK	Denmark	3	1	50120	12093	204	72
Anders Baun EP valg 2019	Sorensen Anders Baun	549966298750692	Facebook	m	male	DK	Denmark	5	1	50107	17907	233	46
Anna Libak i Folketinget	Venstre i Hillerød Kredsen	257752968245827	Facebook	m	male	DK	Denmark	27	1	50031	11882	658	150
Enhedslisten Køge	Rolskov Niels	366165650071333	Facebook	m	male	DK	Denmark	10	1	49062	13416	339	84
Folketingskandidat Anders G. Christensen	Christensen Anders Georg	1394304720620628	Facebook	m	male	DK	Denmark	3	1	49007	11505	153	65
Ulla Tørnæs	Ulla Tørnæs	1442400742660069	Facebook	m	male	DK	Denmark	3	1	48711	9742	97	35
Sammen er du stærkere	HK Danmark	732591266819090	Facebook	m	male	DK	Denmark	2	1	47577	9515	989	409
Henrik Jørgensen - Folketingskandidat for Venstre Brønderslevkredsen	Ladefoged Martin Aggerholm	523900267627364	Facebook	m	male	DK	Denmark	3	1	45910	10363	134	57
Plantebevægelsen	Plantebevægelsen	136775899834790	Facebook	m	male	DK	Denmark	5	1	45858	9171	613	122
Theresa Blegvad, Aarhus Byråd	Venstre, Danmarks Liberale Parti	401991943254934	Facebook	m	male	DK	Denmark	1	1	45102	9020	603	120
Birgitte Bergman	Det Konservative Folkeparti	314962322593667	Facebook	m	male	DK	Denmark	5	1	43899	12113	270	122
Alexander Grandt	Petersen Alexander Grandt	1104859999606639	Facebook	m	male	DK	Denmark	7	1	43693	10475	128	20
Tina Christensen	Frandsen Søren Orlof	372304226446022	Facebook	m	male	DK	Denmark	6	1	43658	10113	470	90
Brigitte Klintskov Jerkel	Jerkel Brigitte Klintskov	229347797233832	Facebook	m	male	DK	Denmark	10	1	42880	13423	426	80
Christina Egelund	Liberal Alliance	684016791662654	Facebook	m	male	DK	Denmark	40	1	41818	7970	431	35
Kim Valentin	Valentin Kim	362875644473220	Facebook	m	male	DK	Denmark	6	1	41618	9109	588	147
Jens Meilvang	Meilvang Jens	1550318855207094	Facebook	m	male	DK	Denmark	8	1	41567	9634	534	127
Karina Lorentzen Dehnhardt	Dehnhardt Karina Lorentzen	116061635098137	Facebook	m	male	DK	Denmark	6	1	41039	10232	182	75
Så er det nu: Gør valget grønt	Jørgensen Mattias Friis	2074470782634792	Facebook	m	male	DK	Denmark	8	1	40696	7949	595	119
Lizette Risgaard	Lizette Risgaard	547601668763372	Facebook	m	male	DK	Denmark	1	1	40539	20269	542	271
Henning Hyllested	Enhedslisten	100255467044528	Facebook	m	male	DK	Denmark	11	1	40346	15094	410	99
Stine Helles, spidskandidat, Alternativet Fyn	Helles Stine	1202144586507625	Facebook	m	male	DK	Denmark	5	1	39449	7667	175	58
Per Husted i Folketinget	Nielsen Per Husted	125832481208156	Facebook	m	male	DK	Denmark	4	1	39347	10051	157	52
Rosa Lund	Enhedslisten	195621950482248	Facebook	m	male	DK	Denmark	2	1	39252	7850	525	105
Rasmus Helveg Petersen	Rasmus Helveg Petersen, Radikale Venstre	1377441749244487	Facebook	m	male	DK	Denmark	5	1	38650	8693	155	29
Dina Raabjerg - Kandidat til EU - En jysk stemme	Myrup Dina Hoff	262868500820455	Facebook	m	male	DK	Denmark	6	1	37886	8934	472	91
Danny Malkowski	Malkowski Danny Knudsen	1469658016633937	Facebook	m	male	DK	Denmark	10	1	37570	7162	501	95
Kristian Hegaard	Hegaard Kristian Wurtz	309352049198824	Facebook	m	male	DK	Denmark	10	1	37354	14167	301	97
Nanna Bonde	Ottosen Nanna Bonde	470433920022890	Facebook	m	male	DK	Denmark	10	1	37346	7470	217	43
Nyt Europa	Nyt Europa	284571169850	Facebook	m	male	DK	Denmark	4	1	37240	9332	124	45
Karsten Hønge	SF	1246666085407861	Facebook	m	male	DK	Denmark	3	1	37136	10485	162	67
Verner i Folketinget	Verner Sand Kirk	935600569947728	Facebook	m	male	DK	Denmark	5	1	36263	9559	693	154
Jeanné Vetling - Radikale Venstre	Vetling Jeanné Stobbe	1036916083074871	Facebook	m	male	DK	Denmark	5	1	36041	8801	482	117
European Commission	European Commission	107898832590939	Facebook	m	male	DK	Denmark	21	1	35105	16545	70	17
Troels Stru Schmidt	Schmidt Troels Stru	543881642649343	Facebook	m	male	DK	Denmark	8	1	34541	7379	412	86
Kristian Pihl Lorentzen	Lorentzen Kristian Pihl	1956719637909855	Facebook	m	male	DK	Denmark	2	1	34242	6848	458	91
Mads Fuglede	Mads Fuglede	1554525611484429	Facebook	m	male	DK	Denmark	3	1	33573	8307	449	111
Pernille Skipper	Pernille Skipper	547840621916967	Facebook	m	male	DK	Denmark	2	1	33532	6706	301	71
Charlotte Munch - Politiker	Munch Charlotte	210317432480139	Facebook	m	male	DK	Denmark	6	1	32949	6358	392	73
Folketingskandidat Jørgen Nielsen	Nielsen Jørgen	1922596311326861	Facebook	m	male	DK	Denmark	13	1	32413	5508	405	66
Rasmus Vestergaard Madsen	Madsen Rasmus Vestergaard	196270790402710	Facebook	m	male	DK	Denmark	3	1	31968	6393	427	85
Rasmus Nordqvist	Rasmus Nordqvist	323452711195305	Facebook	m	male	DK	Denmark	5	1	31497	13581	258	51
Britt Bager	Bager Britt	460055244123143	Facebook	m	male	DK	Denmark	4	1	30574	7957	106	32
Martin Henriksen	Dansk Folkeparti	1604502423155684	Facebook	m	male	DK	Denmark	1	1	30282	6056	405	81
Jeppe Bruus	Christensen Jeppe Bruus	340189926157676	Facebook	m	male	DK	Denmark	2	1	30238	7645	404	102
Benny Engelbrecht	Socialdemokratiet	270431402967189	Facebook	m	male	DK	Denmark	6	1	30024	7203	372	72
Stén Knuth	Knuth Stén	449803521791656	Facebook	m	male	DK	Denmark	2	1	29967	5993	378	74
Peter Miltersen Sørensen	Sørensen Peter Miltersen	1958321471140367	Facebook	m	male	DK	Denmark	1	1	29805	5961	399	79
Mads Andersen	Det Konservative Folkeparti	153005544821843	Facebook	m	male	DK	Denmark	4	1	29189	8247	647	162
Vivi Nør Jacobsen	Jacobsen Vivi Nor	1492301517467484	Facebook	m	male	DK	Denmark	3	1	28868	7270	386	97
Jacob Rosenberg	Rosenberg Jacob	804239283072976	Facebook	m	male	DK	Denmark	13	1	28175	4748	345	56
Kathrine Olldag	Olldag Kathrine	810476755802044	Facebook	m	male	DK	Denmark	13	1	27503	5310	332	62
Stem Henrik Sørensen i Folketinget	Henrik Michael Borsholm Sørensen	122569581108638	Facebook	m	male	DK	Denmark	14	1	27314	5254	344	65
Katrine Robsøe	Robsøe Katrine Kjaer	1791759817712146	Facebook	m	male	DK	Denmark	4	1	27292	7151	322	61
European Greens	European Greens	141366725876424	Facebook	m	male	DK	Denmark	4	1	26136	9295	204	40
