advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	age_code_filter	age_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Rick Ulbricht	Rick Ulbricht 	256973711149074	Facebook	35_44	35-44	DE	Germany	2	1	370	0	36	0
Matthias Dornhuber	SPD Mittelfranken	2273848225970175	Facebook	35_44	35-44	DE	Germany	3	1	350	0	34	0
CDU Grafschaft	CDU Grafschaft	124943844303250	Facebook	35_44	35-44	DE	Germany	2	1	350	0	34	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	35_44	35-44	DE	Germany	1	1	341	170	0	0
knopi41	Hendrik Knop	410145443134612	Facebook	35_44	35-44	DE	Germany	1	1	315	0	31	0
Karsten Klein	Karsten Klein	120519827980254	Facebook	35_44	35-44	DE	Germany	1	1	312	62	6	0
Erik Stohn	SPD Teltow-Fläming	276626369175307	Facebook	35_44	35-44	DE	Germany	1	1	311	0	30	0
Roland Heintze	CDU Landesverband Hamburg	751240091655625	Facebook	35_44	35-44	DE	Germany	2	1	309	0	30	0
Dr. Horst Baier	Dr. Horst Baier	220262751399177	Facebook	35_44	35-44	DE	Germany	2	1	309	0	30	0
Rosa-Luxemburg-Stiftung	Rosa-Luxemburg-Stiftung	134483979119	Facebook	35_44	35-44	DE	Germany	1	1	302	0	29	0
LKR Kreisverband Konstanz	Günther Hückmann	735906753281103	Facebook	35_44	35-44	DE	Germany	1	1	295	0	29	0
Liste Teilhabe und Inklusion	Liste Teilhabe und Inklusion	788622944854002	Facebook	35_44	35-44	DE	Germany	1	1	295	0	29	0
SPD Tübingen	SPD Kreis Tübingen	320469474668529	Facebook	35_44	35-44	DE	Germany	1	1	295	0	29	0
DIE LINKE. Eisenberg und Umgebung	Knut Meenzen	1014856435381833	Facebook	35_44	35-44	DE	Germany	1	1	290	0	28	0
SPD POTSDAM	SPD Potsdam	123837087688700	Facebook	35_44	35-44	DE	Germany	1	1	271	0	26	0
BÜNDNIS 90/DIE GRÜNEN Köthen	BÜNDNIS 90/DIE GRÜNEN Kreisverband Anhalt-Bitterfeld	674211959665855	Facebook	35_44	35-44	DE	Germany	1	1	268	0	26	0
Carsten Krehl - ÖDP	Carsten Günter Helmut Krehl	253247298424946	Facebook	35_44	35-44	DE	Germany	1	1	266	0	26	0
Bündnis 90 / Die Grünen Kreisverband Ortenau	Domenic Markus Preukschas	195589923029	Facebook	35_44	35-44	DE	Germany	2	1	253	0	25	0
Graue Panther wählen	Rudolf Görg 	2014695908579485	Facebook	35_44	35-44	DE	Germany	1	1	251	50	4	0
Alternative für Deutschland - Kreisverband Mittelsachsen	AfD Mittelsachsen	495527383854650	Facebook	35_44	35-44	DE	Germany	1	1	249	0	24	0
CDU Stadtverband Nauen	CDU Nauen	425338230825019	Facebook	35_44	35-44	DE	Germany	1	1	230	0	22	0
Europa Terra Nostra	Europa Terra Nostra e.V.	273074413028074	Facebook	35_44	35-44	DE	Germany	1	1	224	0	22	0
