advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Ionel Arsene		298765223557508	Facebook	braila_county	Brăila County	RO	Romania	3	1	37	7	0	0
Dan Lungu		90324141831	Facebook	braila_county	Brăila County	RO	Romania	5	1	36	7	0	0
PNL Sector 1		279506398903505	Facebook	braila_county	Brăila County	RO	Romania	5	1	35	8	0	0
Iurie Leancă		374999635943550	Facebook	braila_county	Brăila County	RO	Romania	2	1	35	16	0	0
PNL Sector 2		434422389926419	Facebook	braila_county	Brăila County	RO	Romania	4	1	33	7	0	0
Tudor - Tim Ionescu		208694883781	Facebook	braila_county	Brăila County	RO	Romania	3	1	31	8	0	0
Radio Europa Liberă România		2111208649120991	Facebook	braila_county	Brăila County	RO	Romania	2	1	31	11	0	0
Observatorul Român de Sănătate		200389030077064	Facebook	braila_county	Brăila County	RO	Romania	2	1	31	6	0	0
Andreea Ioana		238244803608178	Facebook	braila_county	Brăila County	RO	Romania	1	1	30	6	0	0
Maria Mădălina Turza Independent		2263337330658870	Facebook	braila_county	Brăila County	RO	Romania	4	1	30	6	0	0
Kialo		729627343834501	Facebook	braila_county	Brăila County	RO	Romania	226	1	29	10	0	0
Tipu Denis- Marian		512167018972166	Facebook	braila_county	Brăila County	RO	Romania	1	1	29	14	0	0
The Weiss-Livnat International MA Program in Holocaust Studies		552520384826414	Facebook	braila_county	Brăila County	RO	Romania	1	1	28	11	0	0
Deputat Adrian Todoran		416103301931791	Facebook	braila_county	Brăila County	RO	Romania	1	1	28	14	0	0
Aqua Magica		432889593557947	Facebook	braila_county	Brăila County	RO	Romania	1	1	28	5	0	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	braila_county	Brăila County	RO	Romania	11	1	27	8	0	0
Iulian Lorincz		924354934394338	Facebook	braila_county	Brăila County	RO	Romania	6	1	27	6	0	0
Nicușor Dan	DRAGOMIRESCU STEFAN-IULIAN	230785173665770	Facebook	braila_county	Brăila County	RO	Romania	1	1	27	5	0	0
Divertisment		274230616037011	Facebook	braila_county	Brăila County	RO	Romania	2	1	27	5	0	0
Tineretul Aliantei Liberalilor si Democratilor - Prahova		778048159260892	Facebook	braila_county	Brăila County	RO	Romania	8	1	27	5	0	0
Adrian Dupu		1866472253420915	Facebook	braila_county	Brăila County	RO	Romania	8	1	27	6	0	0
Fanatik.ro	Fanatik.ro	480975841983898	Facebook	braila_county	Brăila County	RO	Romania	3	1	24	11	0	0
PNL Dambovita	PNL Dambovita	1469610256621123	Facebook	braila_county	Brăila County	RO	Romania	3	1	24	8	0	0
Avanta Care Romania		1710490895892658	Facebook	braila_county	Brăila County	RO	Romania	1	1	24	4	0	0
George Dircă		260386954424437	Facebook	braila_county	Brăila County	RO	Romania	2	1	24	6	0	0
Claudiu Daniel Catana		719780158165645	Facebook	braila_county	Brăila County	RO	Romania	1	1	24	12	0	0
RMDSZ	RMDSZ	102601499822802	Facebook	braila_county	Brăila County	RO	Romania	157	1	23	4	0	0
Monica Luisa Macovei		130380413723811	Facebook	braila_county	Brăila County	RO	Romania	2	1	23	4	0	0
Produse Unghii Patry Cosmetica		624242021037730	Facebook	braila_county	Brăila County	RO	Romania	1	1	23	4	0	0
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	braila_county	Brăila County	RO	Romania	3	1	22	9	0	0
Cristina Prună		281341562263123	Facebook	braila_county	Brăila County	RO	Romania	21	1	22	4	0	0
Partidul Social Democrat Independent	H5 Strategies	977959112392303	Facebook	braila_county	Brăila County	RO	Romania	7	1	22	7	0	0
Votează Un Independent		2016952321736083	Facebook	braila_county	Brăila County	RO	Romania	2	1	22	4	0	0
e.on		511324618972373	Facebook	braila_county	Brăila County	RO	Romania	2	1	22	10	0	0
Alternativa de Bun-Simț		402788693862356	Facebook	braila_county	Brăila County	RO	Romania	2	1	22	5	0	0
Orașul meu iubit		182440155970799	Facebook	braila_county	Brăila County	RO	Romania	1	1	21	4	0	0
My Romania Community	My Romania Community	1003402666343078	Facebook	braila_county	Brăila County	RO	Romania	3	1	20	5	0	0
European Youth Event		919232861444360	Facebook	braila_county	Brăila County	RO	Romania	7	1	20	10	0	0
Allen Coliban		767582706713570	Facebook	braila_county	Brăila County	RO	Romania	3	1	20	4	0	0
Civil Liberties Union for Europe		1424938757739868	Facebook	braila_county	Brăila County	RO	Romania	1	1	20	4	0	0
EU Environment		305608429284	Facebook	braila_county	Brăila County	RO	Romania	2	1	20	9	0	0
Partidul Social Democrat - Departamentul pentru Politică Externă		2125138604189213	Facebook	braila_county	Brăila County	RO	Romania	2	1	19	5	0	0
EM360 cu Adi Maniutiu		201920416986321	Facebook	braila_county	Brăila County	RO	Romania	2	1	19	3	0	0
Paul Gheorghe		1751352201635496	Facebook	braila_county	Brăila County	RO	Romania	11	1	19	4	0	0
PRO România București Sector 2	PRO România București Sector 2	1495468257186706	Facebook	braila_county	Brăila County	RO	Romania	1	1	19	3	0	0
Psiholog Radu Leca UltraPsihologie.ro		758478694236470	Facebook	braila_county	Brăila County	RO	Romania	1	1	19	3	0	0
Culture Action Europe		123363221046746	Facebook	braila_county	Brăila County	RO	Romania	1	1	18	3	0	0
Comisia Europeană în România		229163244630676	Facebook	braila_county	Brăila County	RO	Romania	2	1	18	3	0	0
MozaiQ	MozaiQ	1156150484398630	Facebook	braila_county	Brăila County	RO	Romania	2	1	17	4	0	0
Colosus		227112951317017	Facebook	braila_county	Brăila County	RO	Romania	1	1	17	3	0	0
Formatia Belcanto		576865352377213	Facebook	braila_county	Brăila County	RO	Romania	1	1	16	8	0	0
University of Twente		153677961330272	Facebook	braila_county	Brăila County	RO	Romania	3	1	16	8	0	0
Mara Calista		1627942050578477	Facebook	braila_county	Brăila County	RO	Romania	1	1	16	3	0	0
The Trust Word - Romania	The TRUST Word News Group	640011536422545	Facebook	braila_county	Brăila County	RO	Romania	7	1	15	6	0	0
PNL Sector 3		421280451283707	Facebook	braila_county	Brăila County	RO	Romania	4	1	15	2	0	0
Minority SafePack		532492010145546	Facebook	braila_county	Brăila County	RO	Romania	8	1	15	6	0	0
ScienceDirect		1473969232915792	Facebook	braila_county	Brăila County	RO	Romania	2	1	15	3	0	0
ALDE Sector 6		428872677299268	Facebook	braila_county	Brăila County	RO	Romania	4	1	14	7	0	0
Starea Nației		426113450797591	Facebook	braila_county	Brăila County	RO	Romania	1	1	13	2	0	0
Raul Pop		1971627573137454	Facebook	braila_county	Brăila County	RO	Romania	1	1	13	2	0	0
Petre Ionel		1190871690932388	Facebook	braila_county	Brăila County	RO	Romania	2	1	13	2	0	0
Alexandru Coita		1434315680113953	Facebook	braila_county	Brăila County	RO	Romania	3	1	13	2	0	0
Patriotul George		1165067943651438	Facebook	braila_county	Brăila County	RO	Romania	1	1	12	6	0	0
Libris		104413866270917	Facebook	braila_county	Brăila County	RO	Romania	1	1	12	6	0	0
DOSAR ROMANIA		465188503555629	Facebook	braila_county	Brăila County	RO	Romania	1	1	11	2	0	0
ETUC		129041250601685	Facebook	braila_county	Brăila County	RO	Romania	1	1	11	5	0	0
Florin Roman		148387219090644	Facebook	braila_county	Brăila County	RO	Romania	1	1	11	2	0	0
Ziarul Lumina		243537939050885	Facebook	braila_county	Brăila County	RO	Romania	1	1	11	2	0	0
Andrei Caciora		1598005650456702	Facebook	braila_county	Brăila County	RO	Romania	7	1	10	4	0	0
Ilie Buzescu		1729840907232131	Facebook	braila_county	Brăila County	RO	Romania	1	1	10	2	0	0
Funnews		1888419451263197	Facebook	braila_county	Brăila County	RO	Romania	4	1	9	1	0	0
Adrian Mocanu		458397014327039	Facebook	braila_county	Brăila County	RO	Romania	1	1	9	1	0	0
Falca Gheorghe		215405775174990	Facebook	braila_county	Brăila County	RO	Romania	1	1	9	1	0	0
Dreapta Liberală - DL		2575123425876766	Facebook	braila_county	Brăila County	RO	Romania	1	1	9	1	0	0
Mircea Geoana		260365460647855	Facebook	braila_county	Brăila County	RO	Romania	1	1	9	1	0	0
USR Dolj	Uniunea Salvați România	109556372802910	Facebook	braila_county	Brăila County	RO	Romania	1	1	8	1	0	0
ALDE Group – Liberals and Democrats in the European Parliament	ALDE Group in the European Parliament. 	123910440019	Facebook	braila_county	Brăila County	RO	Romania	7	1	8	3	0	0
Repatriot		879370445455346	Facebook	braila_county	Brăila County	RO	Romania	2	1	8	1	0	0
PNL Ilfov		603874909641104	Facebook	braila_county	Brăila County	RO	Romania	1	1	8	1	0	0
Stațiunea de Cercetare-Dezvoltare Agricolă Caracal		174972423014086	Facebook	braila_county	Brăila County	RO	Romania	1	1	8	4	0	0
