advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	spend_code_filter	spend_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kelemen Hunor	RMDSZ	175293925828191	Facebook	100_1k	100 - 1k	RO	Romania	6	1	297692	120934	453	153
Daniel Buda	ETIS Design	220579784732993	Facebook	100_1k	100 - 1k	RO	Romania	2	1	293041	146521	258	114
Dacian Cioloş	PLUS	107543802616247	Facebook	100_1k	100 - 1k	RO	Romania	1	1	267738	107095	562	112
Legyen ELÉG	Legyen Elég	1500893963467932	Facebook	100_1k	100 - 1k	RO	Romania	9	1	259342	65825	600	183
USR Hunedoara	Uniunea Salvați România - USR	250986431933338	Facebook	100_1k	100 - 1k	RO	Romania	3	1	246519	109304	307	124
ALDE  Prahova	Love to Advertise	1598333033752067	Facebook	100_1k	100 - 1k	RO	Romania	4	1	246518	109304	517	229
Mihai Goţiu	Uniunea Salvați România	602280189818804	Facebook	100_1k	100 - 1k	RO	Romania	9	1	237256	76760	438	87
Gregoriana Tudoran	Tudoran Gregoriana Carmen	1985293741779690	Facebook	100_1k	100 - 1k	RO	Romania	11	1	237255	48847	536	107
Partidul Social Democrat Departamentul pentru Politici Fiscal Bugetare	Partidul Social Democrat	2006803969624108	Facebook	100_1k	100 - 1k	RO	Romania	1	1	232608	93043	48	9
Departamentul pentru Turism - Partidul Social Democrat	Partidul Social Democrat	339973510194748	Facebook	100_1k	100 - 1k	RO	Romania	1	1	232607	93043	48	9
USR Sighetu Marmației	USR Maramureș	166649027305554	Facebook	100_1k	100 - 1k	RO	Romania	3	1	229644	107866	818	226
Gabriel Daraban	Dumio	170290960472201	Facebook	100_1k	100 - 1k	RO	Romania	4	1	227910	106978	517	229
Kárpát-medencei Magyar Összefogás	Kárpát-medencei Magyar Összefogás	221361328752151	Facebook	100_1k	100 - 1k	RO	Romania	14	1	218644	67455	682	136
Paralela45	Paralela45	89625862971	Facebook	100_1k	100 - 1k	RO	Romania	2	1	214190	107095	1124	225
USR Baia Mare	USR Maramureș	376715579846693	Facebook	100_1k	100 - 1k	RO	Romania	2	1	207094	103547	772	217
USR Tineret		360833174410777	Facebook	100_1k	100 - 1k	RO	Romania	2	1	200135	100068	611	122
Calin Popescu Tariceanu	EvolveDreamSoft	227922987222524	Facebook	100_1k	100 - 1k	RO	Romania	1	1	199999	100000	209	105
