advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	recent_code_filter	recent_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
AGACAD Tools4Revit		112782242126020	Facebook	rm1	Last month	HR	Croatia	1	1	11	0	1	0
Trang Banana		575840966122462	Facebook	rm1	Last month	HR	Croatia	1	1	11	2	0	0
Autonomija!		110053842371479	Facebook	rm1	Last month	HR	Croatia	1	1	10	0	0	0
Trenzie		741795469501559	Facebook	rm1	Last month	HR	Croatia	3	1	10	0	0	0
Western Canadian Oil		1165785766902284	Facebook	rm1	Last month	HR	Croatia	1	1	10	0	0	0
Banque mondiale		155174084508744	Facebook	rm1	Last month	HR	Croatia	3	1	10	2	0	0
Comité international de la Croix-Rouge		540364216018969	Facebook	rm1	Last month	HR	Croatia	1	1	10	5	0	0
Routledge Politics, IR and Strategic Studies		59321208735	Facebook	rm1	Last month	HR	Croatia	1	1	9	1	0	0
Evropski parlament Slovenija	Evropski parlament Slovenija	183314631692914	Facebook	rm1	Last month	HR	Croatia	1	1	8	1	0	0
Raffaele Fitto		34987266938	Facebook	rm1	Last month	HR	Croatia	1	1	8	1	0	0
Expatica		206982432584	Facebook	rm1	Last month	HR	Croatia	4	1	8	3	0	0
مفوضية اللاجئين		188842724507690	Facebook	rm1	Last month	HR	Croatia	4	1	7	3	0	0
Urša Zgojznik	Lista Povežimo se	2264632877141356	Facebook	rm1	Last month	HR	Croatia	1	1	6	1	0	0
Isabella De Monte	Walter Godina - Mandatario Elettorale di Isabella De Monte	152661171597544	Facebook	rm1	Last month	HR	Croatia	1	1	6	1	0	0
Milan Zver	SDS - Slovenska demokratska stranka	279397488827904	Facebook	rm1	Last month	HR	Croatia	1	1	6	0	0	0
Russian International Affairs Council		203870889756783	Facebook	rm1	Last month	HR	Croatia	1	1	6	1	0	0
Relax-Portal		691857144202675	Facebook	rm1	Last month	HR	Croatia	1	1	6	0	0	0
Christof Catlin		694707690602444	Facebook	rm1	Last month	HR	Croatia	1	1	6	3	0	0
Responses to the NZ Mosque attacks		2259704507429425	Facebook	rm1	Last month	HR	Croatia	1	1	6	1	0	0
Tilburg University		157338687652903	Facebook	rm1	Last month	HR	Croatia	1	1	6	3	0	0
Smart Water Magazine		634705100258374	Facebook	rm1	Last month	HR	Croatia	2	1	6	2	0	0
KDNP és Frakciója	KDNP és Frakciója	230385242742	Facebook	rm1	Last month	HR	Croatia	1	1	5	1	0	0
Helping Hands for Underprivileged Schools		354530518737402	Facebook	rm1	Last month	HR	Croatia	1	1	5	1	0	0
Seaqual Friends		2009782872619352	Facebook	rm1	Last month	HR	Croatia	1	1	5	2	0	0
VerlagDashofer		100333292570	Facebook	rm1	Last month	HR	Croatia	1	1	5	1	0	0
Itthonról Otthonra		795559303924823	Facebook	rm1	Last month	HR	Croatia	1	1	5	2	0	0
Greenpeace Magyarország		35634348348	Facebook	rm1	Last month	HR	Croatia	1	1	4	2	0	0
World Transformation Movement		372125409639	Facebook	rm1	Last month	HR	Croatia	2	1	4	0	0	0
Bana Tibor	Országgyűlés Hivatala Jobbik Frakció	184890488198962	Facebook	rm1	Last month	HR	Croatia	1	1	3	1	0	0
Appeal of Conscience Foundation		476074759088667	Facebook	rm1	Last month	HR	Croatia	1	1	3	0	0	0
High Entity Women		343018412990166	Facebook	rm1	Last month	HR	Croatia	1	1	3	0	0	0
OORR		1430166597249916	Facebook	rm1	Last month	HR	Croatia	5	1	3	0	0	0
REHAU España: Diseño, confort y eficiencia energética en el hogar		131193813582445	Facebook	rm1	Last month	HR	Croatia	1	1	3	0	0	0
Gašper Ferjan		405727836160839	Facebook	rm1	Last month	HR	Croatia	1	1	3	0	0	0
Construction Climate Challenge		1421675261420283	Facebook	rm1	Last month	HR	Croatia	1	1	3	0	0	0
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	rm1	Last month	HR	Croatia	1	1	2	0	0	0
Antonio Silvio Calò	Antonio Silvio Calò	740380199679755	Facebook	rm1	Last month	HR	Croatia	1	1	2	1	0	0
Alex and Lexie		132502374364146	Facebook	rm1	Last month	HR	Croatia	1	1	2	1	0	0
Seven Clean Seas		425855964577344	Facebook	rm1	Last month	HR	Croatia	1	1	2	0	0	0
European Commission		107898832590939	Facebook	rm1	Last month	HR	Croatia	2	1	2	1	0	0
VoteWatch Europe		355087424564148	Facebook	rm1	Last month	HR	Croatia	1	1	2	1	0	0
Wagner Solar Hungária Kft.		178758885478593	Facebook	rm1	Last month	HR	Croatia	1	1	2	0	0	0
Neva Grašič		2235496013147745	Facebook	rm1	Last month	HR	Croatia	1	1	1	0	0	0
Монастырский вестник Украины		1733879730173502	Facebook	rm1	Last month	HR	Croatia	1	1	1	0	0	0
Shurat HaDin - Israel Law Center		709491732434343	Facebook	rm1	Last month	HR	Croatia	1	1	1	0	0	0
Schwarzkopf Professional		150101695010185	Facebook	rm1	Last month	HR	Croatia	1	1	1	0	0	0
New Church Of Christ		2092774617605722	Facebook	rm1	Last month	HR	Croatia	1	1	0	0	0	0
