advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Centre International pour l'Evangile et la Louange / CIEL		1490277477859296	Facebook	d078	2019-03-19	FR	France	1	1	5	1	0	0
RSM MBA		110428762358678	Facebook	d078	2019-03-19	FR	France	3	1	5	2	0	0
PolEXIT		2001582129931761	Facebook	d078	2019-03-19	FR	France	1	1	4	0	0	0
Consulat Général du Royaume du Maroc à Rennes		224732518401415	Facebook	d078	2019-03-19	FR	France	1	1	4	0	0	0
Share Child Opportunity Eastern and Northern Uganda - SCOEN		161705257510307	Facebook	d078	2019-03-19	FR	France	1	1	4	0	0	0
ՄՀԱ Ժողովրդավարության Զարգացման ՀԿ		665391947139188	Facebook	d078	2019-03-19	FR	France	1	1	4	0	0	0
Roposo - TV By The People		574950735891850	Facebook	d078	2019-03-19	FR	France	1	1	4	2	0	0
My Romania Community	My Romania Community	1003402666343078	Facebook	d078	2019-03-19	FR	France	1	1	3	1	0	0
Professor  Alberto Testa	Alberto Testa	1899667790263172	Facebook	d078	2019-03-19	FR	France	1	1	3	0	0	0
Greenhouse Ship		939647549574633	Facebook	d078	2019-03-19	FR	France	1	1	3	0	0	0
Ayla Beauty London		254018131966313	Facebook	d078	2019-03-19	FR	France	2	1	3	1	0	0
Fanguinoveny Sten		230664604184382	Facebook	d078	2019-03-19	FR	France	1	1	3	1	0	0
Dr. Hassan Mohsen Elhais		290561631132324	Facebook	d078	2019-03-19	FR	France	1	1	3	1	0	0
La Vidéo du Pape		367643970026248	Facebook	d078	2019-03-19	FR	France	1	1	3	1	0	0
Andreas Schieder	SPÖ	290881691011354	Facebook	d078	2019-03-19	FR	France	2	1	2	0	0	0
OZY World		365203643975275	Facebook	d078	2019-03-19	FR	France	2	1	2	0	0	0
Zion8studiojahpan		2067119086946609	Facebook	d078	2019-03-19	FR	France	1	1	2	0	0	0
The Odd Store		2293447190676017	Facebook	d078	2019-03-19	FR	France	1	1	2	1	0	0
Smart Energy TV		223797847633003	Facebook	d078	2019-03-19	FR	France	1	1	2	1	0	0
Istituto Hoffman		381220528560860	Facebook	d078	2019-03-19	FR	France	1	1	2	0	0	0
ITUC		20556338116	Facebook	d078	2019-03-19	FR	France	1	1	2	1	0	0
Danilo Oscar Lancini		247390032110856	Facebook	d078	2019-03-19	FR	France	1	1	1	0	0	0
Social Plastic		486324651440186	Facebook	d078	2019-03-19	FR	France	1	1	1	0	0	0
АллатРа ТВ		468944153190776	Facebook	d078	2019-03-19	FR	France	5	1	1	0	0	0
Centre de cas HEC Montréal		510772832719740	Facebook	d078	2019-03-19	FR	France	1	1	1	0	0	0
SolarWinds MSP		679260062113046	Facebook	d078	2019-03-19	FR	France	1	1	1	0	0	0
Not enough		1807843692790617	Facebook	d078	2019-03-19	FR	France	3	1	1	0	0	0
The N'Takou		433978256786014	Facebook	d078	2019-03-19	FR	France	2	1	1	0	0	0
ExploitsMotivation		639724966206723	Facebook	d078	2019-03-19	FR	France	1	1	1	0	0	0
Simona Petrík SPOLU - občianska demokracia	Hudáčková Silvia	132353247111236	Facebook	d078	2019-03-19	FR	France	2	1	0	0	0	0
Sosialidemokraatit SDP		108945982480217	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Open Society Foundations		18983389920	Facebook	d078	2019-03-19	FR	France	3	1	0	0	0	0
THTC - The Hemp Trading Company		30239959348	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Etica Sgr		124450774313284	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
Riparte il futuro		476098022442147	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
ETUC		129041250601685	Facebook	d078	2019-03-19	FR	France	1	1	0	0	0	0
