advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	gender_code_filter	gender_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
PGS - Primorsko Goranski Savez		1548524732054821	Facebook	m	male	HR	Croatia	1	1	3070	614	54	0
East Meet East		565982140109779	Facebook	m	male	HR	Croatia	1	1	3047	1523	6	1
Telegram.hr		688325737947866	Facebook	m	male	HR	Croatia	1	1	2994	598	59	0
HDZ Općina Podcrkavlje		170148766471228	Facebook	m	male	HR	Croatia	1	1	2986	597	59	0
Istra, Primorje, Lika i Gorski kotar		201777757190279	Facebook	m	male	HR	Croatia	1	1	2955	591	52	0
HSS Rijeka		1497014420442097	Facebook	m	male	HR	Croatia	1	1	2937	587	51	0
Klik 4 - B2B promotivni artikli		1385141398412929	Facebook	m	male	HR	Croatia	2	1	2915	498	81	0
EBÖRD		506529806463047	Facebook	m	male	HR	Croatia	1	1	2869	573	5	0
Župan.hr		421240981635243	Facebook	m	male	HR	Croatia	1	1	2865	573	56	0
HSU Metković		508696212628811	Facebook	m	male	HR	Croatia	1	1	2825	565	55	0
Green Economy Congress		345051752533606	Facebook	m	male	HR	Croatia	1	1	2808	561	55	0
Save the Refugees		1931458237163388	Facebook	m	male	HR	Croatia	1	1	2798	1119	2	0
On Your Sleeve	ON YOUR SLEEVE	247943179229148	Facebook	m	male	HR	Croatia	13	1	2767	1013	7	0
ETUC		129041250601685	Facebook	m	male	HR	Croatia	1	1	2714	1357	6	1
MasterClass		687589164666184	Facebook	m	male	HR	Croatia	3	1	2591	1295	11	2
Središnja i sjeverozapadna Hrvatska		1940136549343533	Facebook	m	male	HR	Croatia	1	1	2427	485	42	0
Varaždin for European Youth Capital 2022		158733138231429	Facebook	m	male	HR	Croatia	1	1	2344	469	41	0
Kandidacijska lista "Filozofski je naš"		920900298039941	Facebook	m	male	HR	Croatia	1	1	2309	461	40	0
Soonfeed		214615931960850	Facebook	m	male	HR	Croatia	3	1	2167	758	32	0
Model European Union Zagreb - MEUZ		521874817895935	Facebook	m	male	HR	Croatia	1	1	2128	425	37	0
Perdurabo		380940568683973	Facebook	m	male	HR	Croatia	1	1	2043	1021	2	0
Croatian Travel Festival		1552380261689169	Facebook	m	male	HR	Croatia	1	1	2034	406	40	0
Deutschland.de		31292782350	Facebook	m	male	HR	Croatia	9	1	1954	384	10	0
Tanja Novotni Golubić		411292229079972	Facebook	m	male	HR	Croatia	1	1	1936	387	34	0
Animal Matters	Animal Matters	1439364926329185	Facebook	m	male	HR	Croatia	6	1	1912	624	3	0
World Youth Academy		155365641152627	Facebook	m	male	HR	Croatia	3	1	1895	379	3	0
SDP - Bjelovarsko bilogorske županije		204591930210757	Facebook	m	male	HR	Croatia	1	1	1873	374	33	0
Ircycle		530634984063711	Facebook	m	male	HR	Croatia	1	1	1871	374	3	0
We Amplify		186008238755917	Facebook	m	male	HR	Croatia	4	1	1831	366	4	0
Pokret Protiv Siromaštva Starijih Osoba		1023996364318823	Facebook	m	male	HR	Croatia	1	1	1827	365	32	0
Pologize Fashion		274227073497806	Facebook	m	male	HR	Croatia	1	1	1821	910	16	8
RSM MBA		110428762358678	Facebook	m	male	HR	Croatia	3	1	1781	817	5	1
Guardian B2B		452752128144314	Facebook	m	male	HR	Croatia	1	1	1770	885	5	1
Caritas Europa		190426711052241	Facebook	m	male	HR	Croatia	2	1	1735	347	3	0
Νότης Μαριάς, Ανεξάρτητος Ευρωβουλευτής		337788662974718	Facebook	m	male	HR	Croatia	1	1	1630	326	3	0
Stanford Graduate School of Business		208357009185713	Facebook	m	male	HR	Croatia	4	1	1630	326	3	0
BIOM	BIOM	138743669505642	Facebook	m	male	HR	Croatia	1	1	1611	322	31	0
Tunis Forum on Gender Equality		362993680952642	Facebook	m	male	HR	Croatia	1	1	1609	804	0	0
Institut za razvoj tržišta rada		693895180969699	Facebook	m	male	HR	Croatia	2	1	1599	600	22	0
Soviet Visuals		1160495674016675	Facebook	m	male	HR	Croatia	14	1	1597	333	9	0
packiteco		1331461700293350	Facebook	m	male	HR	Croatia	2	1	1596	319	5	0
V4 Report		267474873666087	Facebook	m	male	HR	Croatia	4	1	1567	313	27	0
BonneGueule		140324089470	Facebook	m	male	HR	Croatia	4	1	1565	747	7	1
Collision Conf		205093963028353	Facebook	m	male	HR	Croatia	5	1	1544	343	14	1
World Food Programme		28312410177	Facebook	m	male	HR	Croatia	1	1	1530	306	2	0
eutopia		1407046686105940	Facebook	m	male	HR	Croatia	4	1	1523	758	0	0
BiH Host of the EBRD Annual Meeting 2019		397944964352174	Facebook	m	male	HR	Croatia	2	1	1488	291	6	0
Fire Safe Europe - FSEU		238789186294640	Facebook	m	male	HR	Croatia	1	1	1482	296	2	0
RoboMarkets - Global		588252871551498	Facebook	m	male	HR	Croatia	3	1	1466	732	1	0
Minority SafePack		532492010145546	Facebook	m	male	HR	Croatia	7	1	1459	312	6	0
garagErasmus Foundation		126673650730964	Facebook	m	male	HR	Croatia	2	1	1446	564	10	0
MmosWorld		1262271977168621	Facebook	m	male	HR	Croatia	1	1	1421	710	0	0
FontBundles.net		1653056048283270	Facebook	m	male	HR	Croatia	3	1	1418	629	7	1
Brut UK		1629990253744016	Facebook	m	male	HR	Croatia	1	1	1414	282	2	0
Le Monde		14892757589	Facebook	m	male	HR	Croatia	27	1	1395	618	2	0
NEOS X - 10. Bundesland		613891652052880	Facebook	m	male	HR	Croatia	1	1	1366	273	12	2
