advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
ZARA - Zivilcourage und Anti-Rassismus-Arbeit	ZARA - Zivilcourage und Anti-Rassismus-Arbeit	100290843377097	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	643	128	12	0
Markus Hein	FPÖ Linz	624525897689879	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	612	306	6	0
Die Grünen Oberösterreich	Die Grünen Oberösterreich	84955135551	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	594	118	8	0
Freiheitliche Arbeitnehmer Oberösterreich	Freiheitliche Arbeitnehmer Oberösterreich	346842098763288	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	546	109	10	0
wienerinnen.at	Valeria Foglar-Deinhardstein 	293185317391782	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	518	103	10	0
scoop.me		100745679654	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	442	60	17	0
Phibie v. Aldebaran		447772735582107	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	388	77	7	0
European Free Alliance	European Free Alliance	46708306425	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	309	155	1	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	253	111	0	0
Peter Pollák	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	307556876112136	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	214	43	2	0
SPÖ Oberösterreich	SPÖ Oberösterreich	208930355786005	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	206	41	4	0
GRAS Linz - Grüne und Alternative Student_innen	GRAS Linz - Grüne und Alternative Student_innen	1738792296441731	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	188	37	3	0
Sense Mesura		1606564102740842	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	121	0	12	0
Zora Jaurová • Progresívne Slovensko	MPhilms o.z.	267456060571592	Facebook	lower_austria_AT	Lower Austria, Austria	6	1	114	26	1	0
Lucia Kleštincová	EUpositive.sk	1933440166748185	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	99	49	0	0
Junge ÖVP	Junge ÖVP	38896933646	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	96	48	0	0
Milan Potocký	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	1977234279243101	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	93	47	0	0
A Solution to Plastic Pollution - First International Online Summit		1098001547034272	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	88	44	0	0
SPÖ Obersteiermark Ost	SPÖ Obersteiermark Ost	639538052795950	Facebook	lower_austria_AT	Lower Austria, Austria	4	1	72	14	0	0
Gütersloher Verlagshaus		341789431722	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	71	14	1	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	60	30	0	0
Europäische Kommission - Vertretung in Österreich	Europäische Kommission - Vertretung in Österreich	187626534620326	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	55	0	5	0
Ondrej Prostredník • Prostredník medzi Vami a Európou	Progresívne Slovensko	951009345100113	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	44	18	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	lower_austria_AT	Lower Austria, Austria	5	1	39	14	0	0
Martin Hojsík • Progresívne Slovensko	Hojsik Martin	147166706140048	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	34	17	0	0
Jaroslav Paška	Pašková Juliana	480862355305905	Facebook	lower_austria_AT	Lower Austria, Austria	4	1	33	5	0	0
Progresívne Slovensko	Progresívne Slovensko	557862947737785	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	19	9	0	0
Tomáš Dentico, váš hlas rešpektovaný v Europarlamente	SPOLU - občianska demokracia	1172318522948253	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	14	4	0	0
CRIF		395919323779707	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	13	6	0	0
Vote for a Woman / Stem op een Vrouw		1329572193784367	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	12	2	0	0
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	12	6	0	0
Big News Buzz		125179374733697	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	8	4	0	0
Vladimír Bilčík SPOLU - občianska demokracia	SPOLU - občianska demokracia	1501859650125625	Facebook	lower_austria_AT	Lower Austria, Austria	3	1	8	1	0	0
نداء الحرب 3: امبراطورية الفولاذ		1896641773933197	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	7	3	0	0
ETUC		129041250601685	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	6	1	0	0
Michal Šimečka • Progresívne Slovensko	Projekt Európa o.z.	194278021265803	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	5	1	0	0
Česká společnost ornitologická	Česká společnost ornitologická	479746075051	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4	2	0	0
Balahura Milan	Balahura Milan	2307673269493501	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	4	0	0	0
KPÖ Wien	KPÖ	1823664304518774	Facebook	lower_austria_AT	Lower Austria, Austria	2	1	4	0	0	0
Olga Sehnalová	Olga Sehnalová	474594005906021	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	3	0	0	0
Nina Nováková	KDU-ČSL	337821749739175	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	3	0	0	0
Eurozine		115579498521257	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	3	0	0	0
Ne u moje ime		138418753446889	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	3	0	0	0
Christine Haberlander	OÖVP - die Oberösterreichische Volkspartei	739265356233278	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	2	0	0	0
Europe Thinx		335839580440114	Facebook	lower_austria_AT	Lower Austria, Austria	1	1	1	0	0	0
