location_code	location_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
vasternorrland_county_SE	Västernorrland County, Sweden	86	34	42072	14832	535	116
zagreb_county_HR	Zagreb County, Croatia	81	28	41602	13362	231	5
karlovac_county_HR	Karlovac County, Croatia	82	29	40881	12579	235	5
pazardzhik_province_BG	Pazardzhik Province, Bulgaria	41	17	40440	15619	199	15
utena_county_LT	Utena County, Lithuania	22	12	39149	11330	204	7
kronoberg_county_SE	Kronoberg County, Sweden	87	33	38717	13459	503	111
ostrobothnia_region_FI	Ostrobothnia (region), Finland	54	35	38183	9681	471	51
sligo_IE	Sligo, Ireland	32	16	37895	15464	339	15
tulcea_county_RO	Tulcea County, Romania	62	35	37729	15297	61	18
medimurje_county_HR	Međimurje County, Croatia	81	28	37508	12260	205	5
faro_district_PT	Faro District, Portugal	15	7	37496	14531	82	27
parnu_county_EE	Pärnu County, Estonia	47	10	36996	7971	636	20
liberec_region_CZ	Liberec Region, Czechia	59	26	36879	11141	120	30
county_louth_IE	County Louth, Ireland	29	15	36799	13268	183	18
northern_ostrobothnia_FI	Northern Ostrobothnia, Finland	54	36	36668	9651	661	54
bjelovar_bilogora_county_HR	Bjelovar-Bilogora County, Croatia	79	27	36524	11458	192	5
pardubice_region_CZ	Pardubice Region, Czechia	76	27	36461	11060	151	35
leiria_district_PT	Leiria District, Portugal	18	8	35247	13262	80	23
kerry_IE	Kerry, Ireland	28	16	34899	10721	458	14
paphos_district_CY	Paphos District, Cyprus	30	18	34746	9661	180	0
county_clare_IE	County Clare, Ireland	35	16	34351	10655	276	12
kyrenia_district_CY	Kyrenia District, Cyprus	23	15	34243	12496	95	0
blekinge_county_SE	Blekinge County, Sweden	81	34	33616	11800	473	101
taurage_county_LT	Tauragė County, Lithuania	21	12	33527	10092	100	6
county_meath_IE	County Meath, Ireland	36	21	33349	10943	364	14
burgas_province_BG	Burgas Province, Bulgaria	42	17	32044	11951	186	1
carlow_IE	Carlow, Ireland	22	14	32014	11921	253	18
santarem_district_PT	Santarém District, Portugal	18	8	30931	11698	70	21
wicklow_IE	Wicklow, Ireland	27	16	30787	10066	136	25
virovitica_podravina_county_HR	Virovitica-Podravina County, Croatia	79	28	30691	9710	168	4
upper_carniola_statistical_region_SI	Upper Carniola Statistical Region, Slovenia	57	14	30279	7353	417	0
sliven_province_BG	Sliven Province, Bulgaria	41	16	30269	11508	146	10
koprivnica_krizevci_county_HR	Koprivnica-Križevci County, Croatia	82	28	30186	9436	171	4
vysocina_region_CZ	Vysočina Region, Czechia	81	27	29339	9158	119	27
goriska_statistical_region_SI	Goriška Statistical Region, Slovenia	59	16	29294	8664	495	0
blagoevgrad_province_BG	Blagoevgrad Province, Bulgaria	39	17	28911	10504	162	1
satakunta_FI	Satakunta, Finland	51	32	28200	6957	283	26
vratsa_province_BG	Vratsa Province, Bulgaria	40	16	27584	10457	140	9
kyustendil_province_BG	Kyustendil Province, Bulgaria	40	18	26785	11315	183	5
pozega_slavonia_county_HR	Požega-Slavonia County, Croatia	82	29	26693	8386	179	3
kilkenny_IE	Kilkenny, Ireland	24	14	26617	7331	407	20
giurgiu_county_RO	Giurgiu County, Romania	55	30	26564	10236	43	11
krapina_zagorje_county_HR	Krapina-Zagorje County, Croatia	81	29	26380	8449	142	4
county_westmeath_IE	County Westmeath, Ireland	36	20	25932	8824	176	12
gotland_county_SE	Gotland County, Sweden	77	35	25871	6293	274	52
southeast_slovenia_statistical_region_SI	Southeast Slovenia Statistical Region, Slovenia	44	14	25716	5963	433	0
la_rioja_ES	La Rioja, Spain	42	16	25204	9848	58	11
county_laois_IE	County Laois, Ireland	23	15	25178	7216	288	16
viseu_district_PT	Viseu District, Portugal	18	8	25103	9278	59	16
sofia_province_BG	Sofia Province, Bulgaria	40	16	24021	9192	124	8
karlovy_vary_region_CZ	Karlovy Vary Region, Czechia	69	24	23854	7413	107	25
ida_viru_county_EE	Ida-Viru County, Estonia	39	10	23570	4998	285	20
ruse_province_BG	Ruse Province, Bulgaria	44	19	22591	8054	241	0
veliko_tarnovo_province_BG	Veliko Tarnovo Province, Bulgaria	44	18	22375	7724	215	1
aosta_valley_IT	Aosta Valley, Italy	146	65	21632	6024	283	6
central_finland_FI	Central Finland, Finland	55	34	21496	5500	349	29
laane_viru_county_EE	Lääne-Viru County, Estonia	43	10	21320	4161	409	10
jamtland_county_SE	Jämtland County, Sweden	74	33	21279	8032	287	60
county_offaly_IE	County Offaly, Ireland	27	17	21014	6266	229	14
yambol_province_BG	Yambol Province, Bulgaria	40	16	20965	7882	105	6
coastal_karst_statistical_region_SI	Coastal–Karst Statistical Region, Slovenia	59	16	20876	4572	326	0
diekirch_district_LU	Diekirch District, Luxembourg	33	17	20732	4763	200	0
mura_statistical_region_SI	Mura Statistical Region, Slovenia	59	16	20605	4259	499	0
