advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Democracy Alive		277008469606499	Facebook	50k_100k	50k - 100k	NL	Netherlands	2	1	107411	53706	706	141
Lodewijk Asscher	Partij van de Arbeid (PvdA)	254918764596191	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Ben & Jerry's		147006749798	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Inholland	Inholland	155357571170466	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	49999	999	500
Volt Nederland		146644665960101	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Judith Sargentini	GroenLinks	296489277060163	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	998	499
European Commission		107898832590939	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	99
Humans of Europe		230143523844070	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Ziggo Movies & Series		387504111602845	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Annie Schreijer		536131049841051	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
DutchCulture centre for international cooperation		349661668507331	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Essent		194968973865322	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Muchachomalo		107341942644703	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	999	500
SP Noord-Holland		699014280188216	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Forum voor Democratie -FVD		609816282477420	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	999	499
VICE Nederland		885242441538323	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
CDA Maastricht		305525042814385	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Museum de Fundatie		125639913060	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99999	50000	499	100
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	Ministerie van Binnenlandse Zaken en Koninkrijksrelaties	326441484085577	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	49999	498	99
PRP Designs		1038790126305711	Facebook	50k_100k	50k - 100k	NL	Netherlands	1	1	99998	49999	444	89
