audience_code_filter	audience_label_filter	country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
f25_34	female (25-34)	BE	Belgium	DéFI	DéFI	173518112695794	Facebook	141	1	305673	80202	1556	249
f25_34	female (25-34)	BE	Belgium	Parti Socialiste (PS)	Parti Socialiste (PS)	518402351504731	Facebook	104	1	293513	98011	1498	234
f25_34	female (25-34)	BE	Belgium	European Youth Forum		80161254850	Facebook	2	1	290230	144625	1475	288
f25_34	female (25-34)	BE	Belgium	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	94	1	245651	75535	949	61
f25_34	female (25-34)	BE	Belgium	Kialo		729627343834501	Facebook	366	1	237714	93766	1773	399
f25_34	female (25-34)	BE	Belgium	CD&V	CD&V	52997544531	Facebook	99	1	201187	52632	1522	206
f25_34	female (25-34)	BE	Belgium	VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	67	1	181048	71787	2562	570
f25_34	female (25-34)	BE	Belgium	Tout sur le nucléaire / Alles over kernenergie		585236024850280	Facebook	12	1	176897	76279	620	181
f25_34	female (25-34)	BE	Belgium	L'OCCITANE en Provence		161197393938517	Facebook	5	1	174277	63942	608	207
f25_34	female (25-34)	BE	Belgium	Parti Populaire - Le Peuple	Parti Populaire - Le Peuple	482811111771571	Facebook	14	1	151284	65491	843	274
f25_34	female (25-34)	BE	Belgium	Maurits Vande Reyde	Vande Reyde Maurits Jozef	1797427180478228	Facebook	82	1	150829	45185	977	54
f25_34	female (25-34)	BE	Belgium	EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	53	1	141318	56886	559	108
f25_34	female (25-34)	BE	Belgium	The Bamboo Brush Society		1152885191422950	Facebook	41	1	127404	43136	939	146
f25_34	female (25-34)	BE	Belgium	Brecht Warnez	Warnez Brecht Luc T	998887823550443	Facebook	144	1	123789	32677	1511	15
f25_34	female (25-34)	BE	Belgium	UNICEF Belgium	UNICEF Belgium	60589646095	Facebook	17	1	123698	50230	733	118
f25_34	female (25-34)	BE	Belgium	Greenpeace Belgium		73232790238	Facebook	78	1	122611	44921	1516	124
f25_34	female (25-34)	BE	Belgium	Sabine de Bethune		254157758598438	Facebook	12	1	119220	33003	405	34
f25_34	female (25-34)	BE	Belgium	Joris Vandenbroucke	Vandenbroucke Joris Jeroen J	984867054996076	Facebook	15	1	116270	50085	336	64
f25_34	female (25-34)	BE	Belgium	Mutualité chrétienne (MC)	Mutualité chrétienne (MC)	180233078762668	Facebook	44	1	116105	36376	645	133
f25_34	female (25-34)	BE	Belgium	ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	83	1	112679	29116	454	40
f25_34	female (25-34)	BE	Belgium	sp.a West-Vlaanderen	sp.a West-Vlaanderen	269157793205215	Facebook	29	1	110450	42758	365	54
f25_34	female (25-34)	BE	Belgium	Le racisme, vous valez mieux que ça		1858720887787052	Facebook	5	1	107780	44035	267	102
f25_34	female (25-34)	BE	Belgium	MR - Mouvement Réformateur	MR - Mouvement Réformateur	236330169511	Facebook	36	1	105004	30070	911	152
f25_34	female (25-34)	BE	Belgium	CD&V Limburg	CD&V Limburg	495564387205601	Facebook	23	1	99612	23668	765	139
f25_34	female (25-34)	BE	Belgium	Thuisverpleging		372390586890911	Facebook	9	1	99574	41117	155	13
f25_34	female (25-34)	BE	Belgium	Gelijke kansen - Egalité des chances		1757055917947545	Facebook	23	1	96089	26959	1401	0
f25_34	female (25-34)	BE	Belgium	UNHCR Belgium		948453825344452	Facebook	1	1	90683	36273	906	181
f25_34	female (25-34)	BE	Belgium	Salsa Rica Dance Company		727875134045965	Facebook	2	1	89275	33230	200	40
f25_34	female (25-34)	BE	Belgium	Jan Cornillie		980619838787000	Facebook	20	1	87552	41220	292	41
f25_34	female (25-34)	BE	Belgium	Women in Tech.Brussels		335459306919067	Facebook	3	1	82687	16537	163	0
f25_34	female (25-34)	BE	Belgium	Unis pour les Droits Humains		1642871805813802	Facebook	17	1	81863	34590	78	2
f25_34	female (25-34)	BE	Belgium	Kathleen Van Brempt	Kathleen Van Brempt	206193139504506	Facebook	98	1	81639	17474	637	1
f25_34	female (25-34)	BE	Belgium	ExxonMobil		925007000949719	Facebook	26	1	81580	17267	654	102
f25_34	female (25-34)	BE	Belgium	one brussels	one.brussels	244157445635331	Facebook	16	1	80398	18998	451	43
f25_34	female (25-34)	BE	Belgium	Fight For €14 - NL		296330127745778	Facebook	23	1	74341	22275	356	0
f25_34	female (25-34)	BE	Belgium	Conner Rousseau	Conner Rousseau	942750852588816	Facebook	26	1	66721	14080	657	95
f25_34	female (25-34)	BE	Belgium	Jos D'Haese	PVDA	1397002987227704	Facebook	69	1	66109	12689	1174	66
f25_34	female (25-34)	BE	Belgium	Socialists and Democrats Group in the European Parliament		127925800618165	Facebook	55	1	65996	21805	449	66
f25_34	female (25-34)	BE	Belgium	Klang der Solidarität		385076005313967	Facebook	47	1	60802	18618	121	5
f25_34	female (25-34)	BE	Belgium	Hans Maes		1181238155301995	Facebook	38	1	54525	13458	484	21
f25_34	female (25-34)	BE	Belgium	Solvari België		118790941561498	Facebook	6	1	54094	19824	549	106
f25_34	female (25-34)	BE	Belgium	Hugues Bayet	Julien Fanuel 	538840262914740	Facebook	8	1	52638	16742	181	17
f25_34	female (25-34)	BE	Belgium	Les Wallons ne manquent pas d'air		559852030865205	Facebook	19	1	49861	14046	481	0
f25_34	female (25-34)	BE	Belgium	Zuhal Demir	Nieuw-Vlaamse Alliantie	453932394796444	Facebook	13	1	49205	13583	151	11
f25_34	female (25-34)	BE	Belgium	ProDG	ProDG	89846075866	Facebook	33	1	45354	12341	521	28
f25_34	female (25-34)	BE	Belgium	Theo Francken		483497581789280	Facebook	7	1	42265	19863	187	36
f25_34	female (25-34)	BE	Belgium	Jan Jambon	Nieuw-Vlaamse Alliantie	60317812912	Facebook	5	1	41945	18633	316	92
f25_34	female (25-34)	BE	Belgium	Vrouw & Maatschappij - CD&V politica	Vrouw & Maatschappij	268844173157989	Facebook	12	1	41830	15180	134	0
f25_34	female (25-34)	BE	Belgium	Johan Van Overtveldt		275607285891320	Facebook	13	1	41687	19093	358	76
f25_34	female (25-34)	BE	Belgium	Sander Loones	Nieuw-Vlaamse Alliantie	575160279283539	Facebook	15	1	41500	9733	284	62
f25_34	female (25-34)	BE	Belgium	Game of Sultans		185311195624361	Facebook	7	1	41184	18612	1045	257
f25_34	female (25-34)	BE	Belgium	Manu Diericx	Diericx Manu Romain C	311729416012864	Facebook	15	1	37351	14049	153	14
f25_34	female (25-34)	BE	Belgium	Linda Lauwers -  18de plaats Kamer N-VA	Meeus Yannick	700417286687969	Facebook	38	1	36522	12497	418	0
f25_34	female (25-34)	BE	Belgium	350.org		12185972707	Facebook	32	1	36481	9361	235	37
f25_34	female (25-34)	BE	Belgium	SOS Villages d'Enfants Belgique		112931942124523	Facebook	1	1	36251	18126	180	36
f25_34	female (25-34)	BE	Belgium	Vluchtelingenwerk Vlaanderen		81497097451	Facebook	7	1	35710	13456	49	0
f25_34	female (25-34)	BE	Belgium	Smart Solutions Qualified people for you		401154619963846	Facebook	3	1	35412	17550	642	144
f25_34	female (25-34)	BE	Belgium	vdk bank		185648231502494	Facebook	3	1	35228	14616	162	32
f25_34	female (25-34)	BE	Belgium	Europe Direct Brussels		772075022808345	Facebook	1	1	34753	17376	86	17
f25_34	female (25-34)	BE	Belgium	USR Diaspora	USR Diaspora	1793510380925494	Facebook	5	1	34435	15287	157	31
f25_34	female (25-34)	BE	Belgium	Marc Lejeune - 3ème au CDH à la Région	Marc Jean-Marie P Lejeune	1115141181990895	Facebook	111	1	31730	5511	1217	0
f25_34	female (25-34)	BE	Belgium	Elias Kartout	Nieuw-Vlaamse Alliantie	2593268540690171	Facebook	4	1	31462	13367	152	27
f25_34	female (25-34)	BE	Belgium	Steven Kindt	Kindt Steven Karel A	934178266778547	Facebook	4	1	31244	11536	129	14
f25_34	female (25-34)	BE	Belgium	SP Ostbelgien	SP Ostbelgien	183856108612877	Facebook	5	1	31203	6597	137	16
f25_34	female (25-34)	BE	Belgium	MBRC		1853495178284518	Facebook	25	1	30086	6888	278	37
f25_34	female (25-34)	BE	Belgium	Lode Ceyssens	Lode Ceyssens	690224427744073	Facebook	7	1	29413	8986	116	10
f25_34	female (25-34)	BE	Belgium	Kris Peeters	Kris Peeters	192181027566488	Facebook	12	1	29249	6237	111	12
f25_34	female (25-34)	BE	Belgium	Bart De Wever		24079407056	Facebook	2	1	28313	11325	283	56
f25_34	female (25-34)	BE	Belgium	Bert Maertens	N-VA	230657213955622	Facebook	14	1	28092	9273	172	14
f25_34	female (25-34)	BE	Belgium	Cheops		1114045328715740	Facebook	2	1	27793	11748	74	37
f25_34	female (25-34)	BE	Belgium	Mama Quilla		387951911757339	Facebook	1	1	27660	13830	138	27
f25_34	female (25-34)	BE	Belgium	Oceonics		277859882973746	Facebook	4	1	27199	5366	89	0
f25_34	female (25-34)	BE	Belgium	Anja Vanrobaeys	Vanrobaeys Anja Maurits	795798820785493	Facebook	28	1	27035	6485	406	37
f25_34	female (25-34)	BE	Belgium	CSP Ostbelgien	CSP Ostbelgien	119271231424655	Facebook	32	1	26857	6439	319	0
f25_34	female (25-34)	BE	Belgium	N-VA Brugge	Nieuw-Vlaamse Alliantie	103746756361685	Facebook	5	1	25993	8663	106	15
f25_34	female (25-34)	BE	Belgium	European Public Health Alliance		163892267038764	Facebook	2	1	25738	5147	67	4
f25_34	female (25-34)	BE	Belgium	Little Step		546966742329623	Facebook	2	1	25651	5130	90	0
f25_34	female (25-34)	BE	Belgium	Jesuit Refugee Service Europe - JRS	JRS Europe	1568112950115984	Facebook	7	1	25308	5166	152	21
f25_34	female (25-34)	BE	Belgium	Vivant   Ostbelgien	Vivant Ostbelgien	1440393739538888	Facebook	12	1	25304	5201	284	11
f25_34	female (25-34)	BE	Belgium	Marie Arena		109149719130331	Facebook	20	1	25107	9356	109	5
f25_34	female (25-34)	BE	Belgium	Humble Household		1746853745395190	Facebook	40	1	24333	9764	185	39
f25_34	female (25-34)	BE	Belgium	Jean de Bethune		425691141175605	Facebook	2	1	24204	10958	58	10
f25_34	female (25-34)	BE	Belgium	Miséricorde pour l'Humanité France		596904657000107	Facebook	8	1	23965	9270	173	33
f25_34	female (25-34)	BE	Belgium	WWF-Belgium	WWF-Belgium	110844205773	Facebook	25	1	23814	6738	184	4
f25_34	female (25-34)	BE	Belgium	Geert Bourgeois	Nieuw-Vlaamse Alliantie	649429725077632	Facebook	10	1	23458	10187	167	64
