advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Tuxy		870667836405958	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	1135	455	3	1
Mladen Novak - kandidat za EP		270846540028647	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	7	1	1123	334	21	0
Game of Sultans		185311195624361	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	1120	480	21	5
The Epoch		218371925673146	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	6	1	1059	411	1	0
VINNIA		325664361187493	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	5	1	1028	438	1	0
Gordan Maras		451079008266520	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	988	389	13	0
UNICEF Europe & Central Asia		373536278864	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	947	379	0	0
Mirela Holy	Buzan Sinisa	469706743110415	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	894	447	7	0
EPP Group in the European Parliament		291699857688	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	827	331	0	0
Euractiv Hrvatska		241773003204028	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	742	371	7	0
Predstavništvo Europske komisije u Hrvatskoj		480559052058396	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	664	132	1	0
Center for European Integration Studies (ZEI)		144159745724379	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	663	332	0	0
Create.Refresh	Create.Refresh	1736881926615141	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	625	279	1	0
Alberto Alemanno		179635265973968	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	622	311	0	0
Medjimurje.info	Taradi Gorkic	948966671820077	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	615	273	6	0
Europeana.eu		10261403667	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	529	220	0	0
Gorkić Taradi - Konobar s olovkom	Taradi Gorkic	1596258860660764	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	508	254	4	0
Huawei Europe		1709278142683543	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	487	244	0	0
Danube Monarchist Alliance - Habsburg Supporters		1985963358400936	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	466	93	1	0
Wholesome Culture		1664959567149320	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	454	195	0	0
LIKE APP		272972103180159	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	439	175	0	0
Demokratski Savez Srba - DSS		1555570598034204	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	431	86	7	0
Talking Europe		316028505828375	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	427	167	0	0
Council of Europe - Directorate General Human Rights and Rule of Law		315160671967064	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	12	1	423	141	1	0
Denis Bevanda		1649158232035552	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	420	210	3	0
Energetska Rješenja		1954931291288079	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	413	185	7	0
ORaH		215268971970847	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	397	198	3	0
Hrvatskadanas	Hrvatskadanas	140693889702485	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	394	56	16	0
Phralipen		1849702855296545	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	378	62	12	0
Rainfallpretend		270564953596356	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	378	189	3	0
The Good Lobby		1420129598280317	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	7	1	367	121	0	0
Europe Together		140105536131109	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	1	1	366	183	1	0
Climate-KIC		403370709744295	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	364	156	0	0
Krešimir Kartelo		372850916524649	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	2	1	360	72	6	0
ALDE Group – Liberals and Democrats in the European Parliament		123910440019	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	3	1	357	163	1	0
Dalija Orešković - START		1984286805018866	Facebook	sisak_moslavina_county_HR	Sisak-Moslavina County, Croatia	4	1	337	123	7	0
