advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Rotherham Conservatives	Rotherham and District Conservative Federation	151299025822248	Facebook	d059	2019-02-28	1	1	454	90	10	0
National Theatre		9212864972	Facebook	d059	2019-02-28	1	1	450	90	1	0
SistemiFotovoltaici.com		183838255029211	Facebook	d059	2019-02-28	1	1	450	90	0	0
KoopjeTrends		320663351897554	Facebook	d059	2019-02-28	8	1	449	74	14	0
Nanushka		114096197575	Facebook	d059	2019-02-28	1	1	434	217	4	0
Weekplanner - Structuur en planning oplossingen voor schoolgaande kinderen		336729963116870	Facebook	d059	2019-02-28	2	1	423	84	1	0
Plan solaire		2049329408642212	Facebook	d059	2019-02-28	15	1	422	118	11	0
FPÖ Niederösterreich	FPÖ Niederösterreich	150623338441911	Facebook	d059	2019-02-28	1	1	416	83	4	0
Nyt Europa		284571169850	Facebook	d059	2019-02-28	1	1	416	83	5	1
Espoon Keskusta	Keskustan Espoon kunnallisjärjestö ry	1529007540681072	Facebook	d059	2019-02-28	1	1	416	83	8	0
Vänsterpartiet Örebro		297546973785228	Facebook	d059	2019-02-28	1	1	416	208	4	0
Mitt klimatlöfte 2019		749237998786038	Facebook	d059	2019-02-28	1	1	416	83	3	0
Dr. Molnár Csaba	Demokratikus Koalíció	306318386058001	Facebook	d059	2019-02-28	1	1	399	200	3	0
Bologna - Si alla famiglia		126715701473	Facebook	d059	2019-02-28	2	1	399	0	39	0
IFES - International Fellowship of Evangelical Students		96156071216	Facebook	d059	2019-02-28	2	1	399	66	15	0
Paralympics Zeitung		523752950988596	Facebook	d059	2019-02-28	1	1	399	80	3	0
ExploitsMotivation		639724966206723	Facebook	d059	2019-02-28	1	1	396	79	0	0
Gentle Dental Clinic Crete		387716078000099	Facebook	d059	2019-02-28	3	1	385	74	2	0
Jess Green and the Mischief Thieves	Arts Council England	884529311661439	Facebook	d059	2019-02-28	1	1	384	76	8	0
Enhedslisten Odder		483241618396326	Facebook	d059	2019-02-28	1	1	384	76	5	1
Uplift - People Powered Change		214697488711000	Facebook	d059	2019-02-28	1	1	384	192	3	0
Tuomas Ojajärvi		1480877175509481	Facebook	d059	2019-02-28	1	1	384	76	7	0
Jo Gideon	Jo Gideon	1546579695614191	Facebook	d059	2019-02-28	1	1	384	192	4	0
Niels Christian Barkholt		2015299168711316	Facebook	d059	2019-02-28	1	1	384	76	5	1
SvMI France		193408274540778	Facebook	d059	2019-02-28	1	1	384	192	3	0
University of Winchester		143430355686638	Facebook	d059	2019-02-28	1	1	375	75	0	0
North West Leicestershire Conservatives	North West Leicestershire Conservative Association	1018398395036765	Facebook	d059	2019-02-28	4	1	363	0	41	0
Knaresborough County Councillor - David Goode	Harrogate & Knaresborough Liberal Democrats	266988473774920	Facebook	d059	2019-02-28	1	1	357	71	8	0
Mette Thiesen	Mette Thiesen	718327901589937	Facebook	d059	2019-02-28	4	1	355	98	4	0
Mike Hewitson for Hamdon Ward	Mike Hewitson for Yeovil Liberal Democrats, 5 Church Street. Yeovil. BA20 1HB	298003377525637	Facebook	d059	2019-02-28	1	1	344	172	3	0
Milieudefensie	Milieudefensie	83439828234	Facebook	d059	2019-02-28	7	1	339	0	33	0
Scott Dickinson	Scott Dickinson	1564849170444385	Facebook	d059	2019-02-28	1	1	333	0	38	0
Ladywood Online	Ladywood Liberal Democrats	153260935350160	Facebook	d059	2019-02-28	1	1	333	0	38	0
Northumberland Labour Group	Northumberland Labour Group	552430691597045	Facebook	d059	2019-02-28	1	1	333	0	38	0
Micky Murray - Alliance Party	Micky Murray	170797550284385	Facebook	d059	2019-02-28	1	1	333	0	38	0
Mary Tinnelly Sinn Féin Selected Candidate for 2019 Council Elections	Mary Tinnelly	346722112592192	Facebook	d059	2019-02-28	1	1	333	0	38	0
Vänsterpartiet Ängelholm		143771795688415	Facebook	d059	2019-02-28	1	1	333	66	3	0
Ilkley Literature Festival	Ilkley Literature Festival	374122925933726	Facebook	d059	2019-02-28	1	1	333	66	7	0
Hanna Holopainen		149856248393583	Facebook	d059	2019-02-28	1	1	333	66	5	0
PurNatour		128687870536585	Facebook	d059	2019-02-28	1	1	333	66	6	0
Miljöpartiet de Gröna i Skövde		325198544201108	Facebook	d059	2019-02-28	1	1	333	66	3	0
My Beckenham Lib Dem team	Bromley Liberal Democrats	1288917837868672	Facebook	d059	2019-02-28	1	1	333	0	38	0
Matthew Genn	Matthew Genn	236518006752066	Facebook	d059	2019-02-28	1	1	333	0	38	0
