country_code_filter	country_name_filter	advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
HU	Hungary	Simonka György	Simonkáné Gábor Marianna	157270314427371	Facebook	11	1	108988	35999	114	22
HU	Hungary	M1		1220658008054651	Facebook	3	1	100997	20000	63	31
HU	Hungary	Fekete-Győr András	Momentum Mozgalom	128573907819549	Facebook	3	1	100996	19999	309	61
HU	Hungary	KDNP és Frakciója		230385242742	Facebook	10	1	100516	20104	145	33
HU	Hungary	Potocskáné Kőrösi Anita		822836871202195	Facebook	2	1	99997	19999	185	46
HU	Hungary	Kendernay János		296972420800411	Facebook	2	1	99997	19999	197	0
HU	Hungary	Ökolurkó - természetes babaápolás		376342689110559	Facebook	1	1	99759	49880	154	30
HU	Hungary	e.on		511324618972373	Facebook	2	1	97178	45858	62	12
HU	Hungary	Council of the European Union		147547541961576	Facebook	5	1	87633	28156	225	24
HU	Hungary	LMP Pécs - Baranya megye	LMP - Lehet Más a Politika	150368418323248	Facebook	5	1	79995	22000	247	68
HU	Hungary	Mérce		85568463466	Facebook	7	1	79993	16000	616	0
HU	Hungary	Cinderella Store	Keppler Rebeka	377613289459605	Facebook	8	1	78991	20999	29	7
HU	Hungary	Szilágyi György	Országgyűlés Hivatala Jobbik Frakció	183174515027839	Facebook	4	1	74996	21000	201	40
HU	Hungary	Azonnali		251157132029176	Facebook	5	1	74978	17996	68	24
HU	Hungary	Simon Miklós országgyűlési képviselő	Bakos Zsolt Ádám	1792920094355738	Facebook	4	1	70993	19998	94	46
HU	Hungary	Indítsuk Be Magyarországot Alapítvány	Indítsuk Be Magyarországot Alapítvány	422399638586608	Facebook	3	1	69996	19999	216	61
HU	Hungary	Lengyel Máté	Lengyel Máté	284187002052790	Facebook	4	1	69996	17000	64	23
HU	Hungary	Pócza István		709443985901039	Facebook	6	1	68458	18384	187	37
HU	Hungary	Party of European Socialists	Party of European Socialists	148097975226385	Facebook	15	1	68279	28850	187	25
HU	Hungary	Csányi Tamás	Országgyűlés Hivatala Jobbik Frakció	1401080026811438	Facebook	4	1	65996	16000	186	37
HU	Hungary	MSZP Zugló		211089588986612	Facebook	3	1	64997	16000	61	21
HU	Hungary	Ecomind		303022097088359	Facebook	3	1	64997	16000	173	35
HU	Hungary	MSZP Győr és Környéke Szervezete		183239791815850	Facebook	5	1	61892	11979	179	38
HU	Hungary	Center for European Integration Studies (ZEI)		144159745724379	Facebook	1	1	60397	30199	60	30
HU	Hungary	Baranyi Krisztina	Baranyi Krisztina	528938113912149	Facebook	2	1	59998	15000	30	6
HU	Hungary	888.hu		748348838626461	Facebook	2	1	59998	15000	170	34
HU	Hungary	Jobbik Kiskunhalasi Szervezete	Farkas Gergely	838238489586226	Facebook	2	1	59998	15000	61	30
HU	Hungary	Hungarian Hardstyle		193573214085	Facebook	2	1	59998	15000	170	34
HU	Hungary	Mandiner	Mandiner	248172631940	Facebook	3	1	59997	12000	185	37
HU	Hungary	Magyar Munkáspárt	Magyar Munkáspárt	447556782025193	Facebook	2	1	59997	14999	46	18
HU	Hungary	Walter Pál Péter		117319392076469	Facebook	2	1	59997	14999	174	0
HU	Hungary	Európai Parlament Tájékoztatási Irodája		126893087354793	Facebook	2	1	59984	14997	170	34
HU	Hungary	Wagner Solar Hungária Kft.		178758885478593	Facebook	2	1	59976	14995	46	18
HU	Hungary	Stop atomtemető		137659053606779	Facebook	10	1	56989	19999	188	66
HU	Hungary	Guardian Weekly		64525551258	Facebook	8	1	56706	22233	117	35
HU	Hungary	Simicskó István		851784814892644	Facebook	7	1	55990	25998	142	57
HU	Hungary	Civilek Tapolcáért		470502729772600	Facebook	2	1	54998	11000	46	18
HU	Hungary	Nyugdíjbiztonság		298815637438343	Facebook	2	1	54998	11000	46	18
HU	Hungary	Magyar Szakszervezeti Szövetség		593452600665367	Facebook	2	1	54998	11000	198	0
HU	Hungary	Dr. Kepli Lajos	Országgyűlés Hivatala Jobbik Frakció	408159852575984	Facebook	2	1	54997	10999	170	34
HU	Hungary	MSZP II. Kerület	MSZP II. kerület	180828571955861	Facebook	2	1	54997	11000	185	46
HU	Hungary	XXI. Század Intézet		751133218288660	Facebook	2	1	54997	10999	46	18
HU	Hungary	Atomcsapda		1298059770281335	Facebook	2	1	54988	10998	46	18
HU	Hungary	Pela Case		119283008140727	Facebook	14	1	51941	17458	106	14
HU	Hungary	Danube Monarchist Alliance - Habsburg Supporters		1985963358400936	Facebook	3	1	51905	10381	131	0
HU	Hungary	Humble Household		1746853745395190	Facebook	38	1	51605	20947	417	89
HU	Hungary	WMN		1526378350973860	Facebook	2	1	50997	10000	34	17
HU	Hungary	Game of Sultans		185311195624361	Facebook	5	1	50939	22048	999	199
HU	Hungary	Arte		656089814494677	Facebook	6	1	50359	21802	171	17
HU	Hungary	Fidelitas		71547793430	Facebook	1	1	49999	10000	15	3
HU	Hungary	Szupermenta	Szupermenta	346763472170939	Facebook	1	1	49999	10000	154	30
HU	Hungary	Simó Károly	Összefogás Egyesület	257493761428728	Facebook	1	1	49999	10000	154	30
HU	Hungary	Kassai Dániel		718311241527566	Facebook	1	1	49999	10000	30	15
HU	Hungary	Pintér Tamás	Országgyűlés Hivatala Jobbik Frakció	1435049493448120	Facebook	1	1	49999	10000	30	15
HU	Hungary	ORIGO		543788999005363	Facebook	1	1	49999	10000	154	30
