advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	location_code_filter	location_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Feminist Apparel		147698828729567	Facebook	carinthia_AT	Carinthia, Austria	8	1	116	53	0	0
Matthew Hussey		525275707491504	Facebook	carinthia_AT	Carinthia, Austria	5	1	115	45	1	0
Web Summit		294067420659309	Facebook	carinthia_AT	Carinthia, Austria	4	1	114	37	1	0
Europe Together		140105536131109	Facebook	carinthia_AT	Carinthia, Austria	1	1	111	56	0	0
Charmed Aroma		260189510813687	Facebook	carinthia_AT	Carinthia, Austria	2	1	111	22	0	0
FoxyOffice - Die Buchhaltungssoftware für Selbständige		158557614216499	Facebook	carinthia_AT	Carinthia, Austria	2	1	110	0	10	0
Avantgardress		342236599641446	Facebook	carinthia_AT	Carinthia, Austria	1	1	108	21	0	0
Tuxy		870667836405958	Facebook	carinthia_AT	Carinthia, Austria	3	1	106	51	0	0
Die Grünen Wels		277574252387534	Facebook	carinthia_AT	Carinthia, Austria	2	1	105	0	10	0
Fazit		110235809011155	Facebook	carinthia_AT	Carinthia, Austria	1	1	105	21	1	0
WIENER STÄDTISCHE		1439246269679045	Facebook	carinthia_AT	Carinthia, Austria	1	1	105	0	10	0
Gaia Wrap		457403794628267	Facebook	carinthia_AT	Carinthia, Austria	6	1	103	12	5	0
Berlin Beer Week		789641531111955	Facebook	carinthia_AT	Carinthia, Austria	2	1	103	20	0	0
Renoun		534901243188896	Facebook	carinthia_AT	Carinthia, Austria	2	1	103	46	1	0
Council of the European Union		147547541961576	Facebook	carinthia_AT	Carinthia, Austria	4	1	103	44	0	0
TraderFox		215521325148657	Facebook	carinthia_AT	Carinthia, Austria	1	1	102	20	2	0
Erfolgreich                  Glücklich		1381670772118922	Facebook	carinthia_AT	Carinthia, Austria	2	1	102	20	2	0
EU Civil Protection & Humanitarian Aid - ECHO		146955527905	Facebook	carinthia_AT	Carinthia, Austria	1	1	99	19	0	0
Aktion gegen den Hunger		1509790395958123	Facebook	carinthia_AT	Carinthia, Austria	5	1	99	16	3	0
LIKE APP		272972103180159	Facebook	carinthia_AT	Carinthia, Austria	1	1	97	39	0	0
