advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Michal Šipoš - kandidát do Európskeho parlamentu		156395481064391	Facebook	nitra_region	Nitra Region	SK	Slovakia	9	1	8019	3533	48	12
Robert Fico	Robert Fico	732167026967322	Facebook	nitra_region	Nitra Region	SK	Slovakia	11	1	7321	1571	36	4
Jaroslav Paška	Pašková Juliana	480862355305905	Facebook	nitra_region	Nitra Region	SK	Slovakia	14	1	7270	1692	34	3
Peter Pollák	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	307556876112136	Facebook	nitra_region	Nitra Region	SK	Slovakia	15	1	7172	2779	31	5
Zuzana Csadyová	Most-Híd (Híd-Most)	298887710803466	Facebook	nitra_region	Nitra Region	SK	Slovakia	6	1	7136	1520	19	0
KDH	KDH	163449818290	Facebook	nitra_region	Nitra Region	SK	Slovakia	4	1	6851	1370	21	2
Marián Čaučík	KDH	168054920212177	Facebook	nitra_region	Nitra Region	SK	Slovakia	5	1	6184	1448	104	0
Dominik Hatiar • Mladí za lepšiu Európu		1795556150546258	Facebook	nitra_region	Nitra Region	SK	Slovakia	69	1	5994	1664	98	1
USA and Slovakia		167499746617461	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	5562	2781	3	0
Pavel Macko SPOLU - občianska demokracia	SPOLU - občianska demokracia	489291478219770	Facebook	nitra_region	Nitra Region	SK	Slovakia	11	1	5507	1781	25	2
MKP - Komáromi Helyi Szervezete		1357601860939004	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	4999	1000	99	0
Dominik Drdul - kandidát do Eurovolieb, Oľano	OBYČAJNÍ ĽUDIA a nezávislé osobnosti	306217430051254	Facebook	nitra_region	Nitra Region	SK	Slovakia	11	1	4786	1473	30	1
Dušan Šándor - Váš zástupca v Európskom parlamente		350764848876135	Facebook	nitra_region	Nitra Region	SK	Slovakia	10	1	4740	947	16	1
Csicsai Gábor	Most-Híd (Híd-Most)	316019271756480	Facebook	nitra_region	Nitra Region	SK	Slovakia	2	1	4558	979	10	0
Michal Liptaj kandidát do Európskeho parlamentu		211966999713636	Facebook	nitra_region	Nitra Region	SK	Slovakia	29	1	4066	1221	50	1
Zastúpenie Európskej komisie na Slovensku		475005065849814	Facebook	nitra_region	Nitra Region	SK	Slovakia	1	1	3900	1950	1	0
Simon Zsolt	Simon Zsolt	281189505375741	Facebook	nitra_region	Nitra Region	SK	Slovakia	6	1	3478	832	28	0
NAJ - politická strana odborníkov a etiky		187498825018596	Facebook	nitra_region	Nitra Region	SK	Slovakia	15	1	3474	1039	25	0
Ondrej Prostredník • Prostredník medzi Vami a Európou	Progresívne Slovensko	951009345100113	Facebook	nitra_region	Nitra Region	SK	Slovakia	21	1	3241	762	27	0
Netky.sk		364139677032739	Facebook	nitra_region	Nitra Region	SK	Slovakia	38	1	3191	0	316	0
Erik Tomáš	Erik Tomáš	256241975019809	Facebook	nitra_region	Nitra Region	SK	Slovakia	16	1	3153	1089	21	0
Anton Martvoň	Martvon Anton	351452264866192	Facebook	nitra_region	Nitra Region	SK	Slovakia	4	1	2952	691	8	0
Sloboda a Solidarita	Richard Sulik	71030757230	Facebook	nitra_region	Nitra Region	SK	Slovakia	19	1	2894	881	38	0
Ján Rudolf - eurofondy, rady a tipy		1032120240148860	Facebook	nitra_region	Nitra Region	SK	Slovakia	10	1	2707	589	15	0
