advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	day_code_filter	day_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Plaid Cymru	Plaid Cymru	26416930992	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	6999	3400	46	7
It’s Our City	It's Our City	332341263921598	Facebook	d130	2019-05-10	UK	United Kingdom	47	1	6896	771	499	0
ourEconomy	openDemocracy	253598932237086	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	6249	1250	72	14
Newcastle Helix	Newcastle Helix	1688486871233759	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	6249	1250	72	14
Hackney Lib Dems	Hackney Liberal Democrats	138435322972255	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	5832	2666	76	0
I Love EU	Terence Brotheridge	396013737832767	Facebook	d130	2019-05-10	UK	United Kingdom	17	1	5712	892	245	0
Neville Seed MEP	Neville Seed	2667430016617421	Facebook	d130	2019-05-10	UK	United Kingdom	4	1	5573	1231	68	11
Southwark Liberal Democrats	Southwark Liberal Democrats	491862484305741	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	5259	1051	26	0
Give-My-View		698773137204706	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4999	1000	114	0
Bright Sparkles		266492510651495	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4999	1000	114	0
Polski Biznes w UK	Krzysztof Kawulak	983420921675233	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4999	999	11	0
Brexit - Time to choose a direction	Iain Macdonald	320338001965330	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4999	1000	11	0
Our West Lancashire	Our West Lancashire	1517535045204083	Facebook	d130	2019-05-10	UK	United Kingdom	10	1	4663	333	381	0
Cllr Nesil Caliskan - Leader of Enfield Council		346836899497254	Facebook	d130	2019-05-10	UK	United Kingdom	2	1	4628	909	62	10
Matt Hancock	West Suffolk Conservative Association	522930704494653	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4545	909	10	0
Alliance Party of Northern Ireland	The Alliance Party	10642639740	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4545	909	52	10
Ben Lake - Ceredigion	Plaid Cymru Ceredigion	155523867856935	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4545	909	10	0
The Democratic Party		1258115614298321	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4545	909	10	0
WarwickDistrict4Europe	Scientists for EU	173537993272024	Facebook	d130	2019-05-10	UK	United Kingdom	1	1	4545	909	52	10
Ipswich Region	Region Media Ltd	2075147492755843	Facebook	d130	2019-05-10	UK	United Kingdom	6	1	4414	666	200	0
Keep Britain Afloat	Keep Britain Afloat	789695304740584	Facebook	d130	2019-05-10	UK	United Kingdom	3	1	4332	866	99	0
