advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	media_code_filter	media_label_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
mmb media agentur d.o.o.		AR524572049809604608	Google	video	Video	31	1	1030000	80000	5150	400
GroenLinks		AR148211418645135360	Google	video	Video	3	1	1020000	100000	30100	500
Eesti Reformierakond		AR547139251091800064	Google	video	Video	1	1	1000000	100000	500	50
Fianna Fáil		AR101183107301900288	Google	video	Video	22	1	940000	80000	4700	400
Hämeen Uusi Suunta ry		AR330633591832707072	Google	video	Video	18	1	900000	80000	64400	1400
Flamesite s.r.o.		AR522320249995919360	Google	video	Video	24	1	780000	60000	3900	300
Unitas		AR53945888749387776	Google	video	Video	18	1	720000	60000	34000	850
TALLER DE IDEAS PARA LA RED SL		AR478461555797655552	Google	video	Video	12	1	660000	60000	2850	250
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	video	Video	10	1	640000	60000	3200	300
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	video	Video	5	1	500000	50000	120500	2050
Progresívne Slovensko		AR114793686864232448	Google	video	Video	10	1	460000	40000	2300	200
Österreichischer Wirtschaftsbund (ÖWB)		AR248881328894771200	Google	video	Video	8	1	440000	40000	2200	200
Česká Produkční Social Media s.r.o.		AR561937852967944192	Google	video	Video	7	1	430000	40000	2150	200
Alternative für Deutschland		AR380456861733748736	Google	video	Video	4	1	400000	40000	2000	200
Pirkanmaan Kokoomus ry		AR571246318408695808	Google	video	Video	4	1	400000	40000	2000	200
Socialdemokratiet i Region Midtjylland		AR258908874940088320	Google	video	Video	17	1	350000	20000	3100	250
VVD		AR300729074580455424	Google	video	Video	5	1	320000	30000	1600	150
HLAS		AR312619193323225088	Google	video	Video	5	1	320000	30000	1600	150
Vapaus ry		AR124593908880506880	Google	video	Video	6	1	240000	20000	300	0
Socialdemokraterne Aarhus 1. Kreds		AR152882144039927808	Google	video	Video	5	1	230000	20000	60150	1000
Движение Да България		AR511110454072836096	Google	video	Video	5	1	230000	20000	250	0
Liberal Alliance Djursland		AR73057599863390208	Google	video	Video	5	1	230000	20000	1150	100
Venstre på Østerbro		AR129592288740376576	Google	video	Video	4	1	220000	20000	1100	100
Open VLD		AR350212320510607360	Google	video	Video	21	1	210000	0	1050	0
Kommuneforeningen for Venstre i Haderslev Kommune		AR314183523491643392	Google	video	Video	2	1	200000	20000	1000	100
SPÖ-Landesorganisation Burgenland		AR345765070854160384	Google	video	Video	2	1	200000	20000	1000	100
EUpositive.sk		AR348804120993333248	Google	video	Video	11	1	200000	10000	1000	50
ADDO DIGITAL IKE		AR15516582969081856	Google	video	Video	2	1	200000	20000	100	0
KWW KOALICJA EUROPEJSKA PO PSL SLD .N ZIELONI		AR446654883429351424	Google	video	Video	6	1	150000	10000	750	50
SNAGA - Stranka narodnog i građanskog aktivizma		AR64130390079569920	Google	video	Video	5	1	140000	10000	250	0
Morten Dahlin		AR273707476816232448	Google	video	Video	4	1	130000	10000	650	50
Tampereen Vihreät ry		AR4096230569279488	Google	video	Video	13	1	130000	0	650	0
Partido Socialista Obrero Español de Castilla y León		AR476313110076981248	Google	video	Video	3	1	120000	10000	150	0
Politieke Partij Democraten 66		AR204688932917477376	Google	video	Video	2	1	110000	10000	550	50
Jukka Kopra		AR232680299937398784	Google	video	Video	2	1	110000	10000	30050	500
KW Wiosna Roberta Biedronia		AR344197991906672640	Google	video	Video	2	1	110000	10000	550	50
ΚΙΝΗΜΑ ΑΛΛΑΓΗΣ		AR371219589670895616	Google	video	Video	2	1	110000	10000	550	50
HLAS ĽUDU		AR563748473740984320	Google	video	Video	2	1	110000	10000	550	50
Michael Aastrup Jensen		AR92226485582036992	Google	video	Video	2	1	110000	10000	550	50
NÁRODNÁ KOALÍCIA		AR12498698428743680	Google	video	Video	1	1	100000	10000	500	50
SP (Socialistische Partij)		AR194453304296603648	Google	video	Video	1	1	100000	10000	500	50
NAVARRA SUMA		AR200082803830816768	Google	video	Video	1	1	100000	10000	500	50
SPD Berlin		AR257142234632159232	Google	video	Video	1	1	100000	10000	30000	500
IT Connect Paweł Kociński		AR25953147339931648	Google	video	Video	1	1	100000	10000	500	50
UNIDAS PODEMOS - IZQUIERDA UNIDA - EQUO		AR380226788925636608	Google	video	Video	1	1	100000	10000	500	50
UNIDAS PODEMOS CAMBIAR EUROPA		AR518712477467279360	Google	video	Video	1	1	100000	10000	500	50
W.R.P.R., s.r.o.		AR111802190602960896	Google	video	Video	1	1	100000	10000	500	50
Ioannis Vardakastanis		AR122780539328397312	Google	video	Video	1	1	100000	10000	500	50
POR UN MUNDO MÁS JUSTO		AR537111705046482944	Google	video	Video	1	1	100000	10000	500	50
Janika Takatalo		AR113027046556303360	Google	video	Video	9	1	90000	0	1350	100
Občanska demokraticka strana		AR386241117529571328	Google	video	Video	5	1	50000	0	250	0
Saku Petteri Räty		AR196651502918434816	Google	video	Video	4	1	40000	0	200	0
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	video	Video	2	1	20000	0	100	0
Det Konservative Folkeparti		AR40969452518375424	Google	video	Video	2	1	20000	0	100	0
Popolari per l'Italia		AR406403961759727616	Google	video	Video	2	1	20000	0	100	0
Studio Montrucchio Capello snc		AR159631771044937728	Google	video	Video	1	1	10000	0	50	0
LKR		AR244274375174389760	Google	video	Video	1	1	10000	0	50	0
