advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	impression_code_filter	impression_label_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Kamala		1767544630221422	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	176	0
Dominik Hatiar2		863166610690134	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1998	0	197	0
Michal Liptaj kandidát do Európskeho parlamentu		211966999713636	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1997	0	197	0
Petra Krištúfková	Sme rodina	1061086993931165	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1997	0	197	0
Tárnok Balázs	Tárnok Balázs	831444983872265	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1997	0	102	1
Alena Harvanová		416150922285114	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1997	0	197	0
Tibor Jančula		722655554755578	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1997	0	197	0
Narovinu		1585453424863955	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1997	0	197	0
Milovat není zločin		264585223613712	Facebook	0_1k	0 - 1k	SK	Slovakia	4	1	1947	0	7	0
Expres.cz		1477502522567102	Facebook	0_1k	0 - 1k	SK	Slovakia	2	1	1554	0	5	0
Katarina Roth Nevedalova	Roth Nevedalova Katarina	237493046280813	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Kamil Bodnár	Bodnar Kamil	187939377936122	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
NAJ - politická strana odborníkov a etiky		187498825018596	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Michal Kozubík - Rozdiely nás spájajú		494698744355165	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Apponyiho Juniáles	Praženec Mário	674126552985463	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	98	0
Miriam Lexmann	KDH 	594790970995799	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Igor Melicher - Mladí Sociálni Demokrati	Robert Bestro	2687957954762822	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	98	0
Tomáš Dentico, váš hlas rešpektovaný v Europarlamente	Skalnik Petr	1172318522948253	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	98	0
Kapa12	Andrasko Daniel	462822114214686	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	98	0
KDH	KDH	163449818290	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
Katarína Cséfalvayová		493793160723881	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	98	0
SMER - SD Bratislava V		1023617851143344	Facebook	0_1k	0 - 1k	SK	Slovakia	1	1	999	0	99	0
