advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
FPlus – nyhetstjänsten för företagsamma	fPlus	130927360876045	Facebook	vastmanland_county	Västmanland County	SE	Sweden	4	1	21	4	0	0
Tobias Baudin	Kommunal	614939535271869	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	21	4	0	0
Concord Sverige	CONCORD Sverige	119628488091475	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	21	4	0	0
Svensk Tidskrift	Svensk Tidskrift	268608766607208	Facebook	vastmanland_county	Västmanland County	SE	Sweden	10	1	20	3	0	0
Centerpartiet i Uppsala län	Grew Hedda Anna Magdalena Jarta	801293393230795	Facebook	vastmanland_county	Västmanland County	SE	Sweden	5	1	20	7	0	0
Kristdemokraterna Uppsala	Kristdemokraterna Uppsala	783969528368300	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	19	6	0	0
Kristdemokraterna Sörmland	Tinglöf Miriam Monica Mariana	1633975010236193	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	18	3	0	0
Pietro Marchesi	Marchesi Pietro Angelo Giuseppe	412659735929497	Facebook	vastmanland_county	Västmanland County	SE	Sweden	7	1	17	1	0	0
Kryssa Mohammad Omran KD	Omran Mohammad	294934427940073	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	17	6	0	0
20% Klimatvarning	Arleskar Carl Albin	362163934600158	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	16	6	0	0
Jörgen Warborn EU-kandidat	Moderaterna	56002955332	Facebook	vastmanland_county	Västmanland County	SE	Sweden	3	1	14	2	0	0
Centerpartiet Uppsala Län	Grew Hedda Anna Magdalena Jarta	597947044056811	Facebook	vastmanland_county	Västmanland County	SE	Sweden	2	1	14	5	0	0
Skattebetalarnas Förening	Skattebetalarnas Förening	72832167834	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	13	6	0	0
Landsbygdspartiet oberoende	Landsbygdspartiet oberoende	1549988978561671	Facebook	vastmanland_county	Västmanland County	SE	Sweden	1	1	13	6	0	0
