advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	region_code_filter	region_name_filter	country_code_filter	country_name_filter	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Axess Magasin & TV	Axess Magasin & TV	887305194662637	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	5	1	0	0
Arbetsmarknadsnytt	Arbetsmarknadsnytt	799634660143537	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	5	1	0	0
Studieförbundet Bilda	Wallstedt Bo Fredrik	161514177194883	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	5	1	0	0
Liberalerna Västerås	Liberalerna Västerås	39940078116	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	4	0	0	0
Eva B Arnesson - KD	Eva B Arnesson - KD	297923747637590	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	4	0	0	0
Concord Sverige	CONCORD Sverige	119628488091475	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	4	0	0	0
Erik Ciardi - en smålänning i Europa	Bengtsson Qvarnström Bert B Filip	228671011420851	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	4	0	0	0
Liberalerna Västmanland	Liberalerna Västmanland	112927778743586	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	3	0	0	0
Centerpartiet Upplands Väsby	Magnusson Kjell Johan Sonny	1457926257795252	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	3	0	0	0
Jan Lenander, politiskt engagerad	Lenander Jan Richard	1834522019966466	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	3	0	0	0
Richard Brodd Liberalerna	Brodd Karl Erik Richard	223726468440460	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	3	0	0	0
Moderaterna i Håbo	Erling Björn Karl Gustaf	256926791030140	Facebook	sodermanland_county	Södermanland County	SE	Sweden	3	1	3	0	0	0
Socialdemokraterna Kungälv	Kungälvs Socialdemokratiska Arbetarekommun	241319269242484	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	3	0	0	0
Kvinna till Kvinna	Kvinna till Kvinna	153028052500	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	2	0	0	0
Stoppa höjningen av Sveriges EU-avgift	Fria Moderata Studentförbundet	306402583588293	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	2	0	0	0
Ydrenäs4EU	Ydrenas Hans Rickard	1538819782888095	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	2	0	0	0
SSU Kalmar Län	SSU Kalmar län	241658249370356	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	2	0	0	0
KD Kungsbacka	KD Kungsbacka	2024157037852156	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	2	0	0	0
Tankar Online		114769995938282	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	1	0	0	0
Kristdemokraterna Västerbotten	Kristdemokraterna Västerbotten	414156238684191	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	1	0	0	0
Kristdemokraterna Vänersborg	Nilsson Anna Maria	1436550706597391	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	1	0	0	0
Kristdemokraterna i Gagnef	Kristdemokraterna Dalarna	273483286188959	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	1	0	0	0
Adnan Dibrani till Bryssel	Ghafari Sebastian	1308296045984813	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	1	0	0	0
Centerpartiet i Umeå	Centerpartiet	450620155297	Facebook	sodermanland_county	Södermanland County	SE	Sweden	4	1	1	0	0	0
Caritas Sweden		119140545477108	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	1	0	0	0
Arbetarekommunen	Persson Gunnar Henrik Haakan	2053389964962411	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	1	0	0	0
Kommunistiska Partiet Stockholm		1572942986309050	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	1	0	0	0
Socialdemokraterna i Uppsala	Socialdemokraterna i Uppsala	174949672555149	Facebook	sodermanland_county	Södermanland County	SE	Sweden	4	1	0	0	0	0
Vänsterpartiet Dalarna	Fredholm Kajsa	154956994679599	Facebook	sodermanland_county	Södermanland County	SE	Sweden	4	1	0	0	0	0
Liberalerna Stockholm	Liberalerna Stockholm	682180208473039	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Moderaterna Kungsbacka	Moderaterna Kungsbackakretsen	121182911263997	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Vänsterpartiet Södermalm	Vänsterpartiet Södermalm	376804565780243	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Socialists and Democrats Group in the European Parliament	Socialists and Democrats Group in the European Parliament	127925800618165	Facebook	sodermanland_county	Södermanland County	SE	Sweden	5	1	0	0	0	0
Greens/EFA in the European Parliament	Greens/EFA in the European Parliament	150527751674751	Facebook	sodermanland_county	Södermanland County	SE	Sweden	18	1	0	0	0	0
Party of European Socialists	Party of European Socialists	148097975226385	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Semantiko	MTWABP Sweden AB	656090384536434	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
European Committee of the Regions	European Committee of the Regions	527351247377965	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
The Good Show	Assur Stagliano Stefan Giuseppe	1923750267869320	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Big News Buzz		125179374733697	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Miljöpartiet Södertälje	Miljöpartiet Södertälje	181419098546246	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Moderaterna i Västra Götaland	Moderaterna i Västra Götaland	295727652090	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	0	0	0	0
Free Quran Education		388655174641163	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Spannmålsfritt	Spannmålsfritt	886531201686249	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	0	0	0	0
Vänsterpartiet Leksand	Fredholm Kajsa	348264571925203	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
ALDE Party – Liberals and Democrats for Europe	ALDE Party – Liberals and Democrats for Europe	262681199589	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	0	0	0	0
EPP - European People's Party	EPP - European People's Party	48034275355	Facebook	sodermanland_county	Södermanland County	SE	Sweden	5	1	0	0	0	0
European Free Alliance	European Free Alliance	46708306425	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Socialdemokraterna Hässleholm	Hässleholms Socialdemokratiska arbetarekommun	838924659467812	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Moderaterna i Stockholms stad och län	Moderaterna i Stockholms stad och län	118162038224731	Facebook	sodermanland_county	Södermanland County	SE	Sweden	2	1	0	0	0	0
Moderaterna i Stenungsund	Renfors Anna Maria	488439967871997	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Kristdemokraterna i Örebro län	Cesar Eje Alexander	430535663641398	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Anders G Johansson	Johansson Anders Gustaf Werner	357659877249	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
EPP Group in the European Parliament	EPP Group in the European Parliament	291699857688	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Tokyo Weekender		134654693230171	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
Tallis talar		1206136579519699	Facebook	sodermanland_county	Södermanland County	SE	Sweden	1	1	0	0	0	0
