advertiser_name	advertiser_disclosure	platform_advertiser_id	platform_name	ad_count	advertiser_count	high_impressions	low_impressions	high_spend	low_spend
Change UK - The Independent Group	Change UK - The Independent Group	395151614382309	Facebook	737	1	11192263	4165000	193902	35641
BÜNDNIS 90/DIE GRÜNEN	BÜNDNIS 90/DIE GRÜNEN	47217143218	Facebook	384	1	11126616	3753000	88016	13800
Giorgos Patoulis	Georgios Patoulis	668804566601196	Facebook	130	1	11055870	4546000	35670	6300
SOCIALDEMOKRATIET		AR271193993235136512	Google	18	1	10800000	1080000	333500	5850
WeWorld Onlus		299584710061488	Facebook	374	1	10764626	4144000	61926	7700
ČSSD	ČSSD	111041662264882	Facebook	1716	1	10603284	2692000	52641	12754
Greenpeace Italia	Greenpeace Italia	35346524498	Facebook	91	1	10537909	4365000	28609	5500
EVOLVEDREAMSOFT SRL		AR495298652231696384	Google	130	1	10300000	950000	10100	400
Open Vld	Open Vld	53668151866	Facebook	346	1	10265654	3726000	80754	13700
Platforma Obywatelska	KKW Koalicja Europejska PO PSL SLD .N Zieloni	102931488739	Facebook	451	1	10134549	3969000	35953	7025
UK government	UK government	408582579294175	Facebook	21	1	10059979	4435000	117777	37724
Liberal Alliance		AR183859784640888832	Google	100	1	10000000	940000	204050	5150
Arnora Oy		AR181544213152792576	Google	1	1	10000000	1000000	500	50
Párbeszéd Magyarországért	Párbeszéd Magyarországért	113684438795574	Facebook	48	1	9976952	4228000	7800	2627
Venstre, Danmarks Liberale Parti	Venstre, Danmarks Liberale Parti	21465928829	Facebook	285	1	9880715	3508000	79256	21129
PSC Partit dels  Socialistes de Catalunya	PSC Partit dels  Socialistes de Catalunya	87930687376	Facebook	87	1	9707913	4078000	63213	15600
Πέτρος Κόκκαλης - Petros Kokkalis	Πέτρος Κόκκαλης - Petros Kokkalis	234040963454964	Facebook	205	1	9607795	3489000	39095	4800
Right To Vote	Right to Vote	408236463256774	Facebook	358	1	9484642	2394000	80704	12150
Referendum Commission		580832208630212	Facebook	28	1	9464972	4293000	62872	13100
Dungeon Defenders		107960282569653	Facebook	311	1	9380689	3587000	44763	5073
GRAFTET MICHAŁ TETERYCZ		AR164284079619964928	Google	28	1	9370000	930000	1850	50
Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	Dipartimento per le politiche giovanili e il servizio civile universale – Presidenza del Consiglio dei Ministri	353868374653514	Facebook	54	1	9348946	4015000	17046	3200
Greenpeace España	Greenpeace España	133044800622	Facebook	163	1	9016837	3287000	28337	3600
Ben Houchen - Tees Valley Mayor	Ben Houchen	1934566156780439	Facebook	148	1	8955852	3181000	63127	13307
mmb media agentur d.o.o.		AR524572049809604608	Google	746	1	8900000	160000	37300	0
Andreas Schieder	SPÖ	290881691011354	Facebook	165	1	8889835	2881000	70635	13600
Momentum Mozgalom	Momentum Mozgalom	592204747588011	Facebook	197	1	8796803	3181000	16925	5578
Vattenfall Sverige		608975645850217	Facebook	28	1	8720972	3980000	106227	30467
Sign for my Future		1345513882259768	Facebook	75	1	8702925	3652000	64225	14600
Esquerra Republicana de Catalunya	Esquerra Republicana de Catalunya	150234575797	Facebook	164	1	8626836	3631000	36436	6200
Nemzeti Televízió	Alfahír Hírportál	164061553749320	Facebook	87	1	8536913	3596000	21624	8553
ALDE Party – Liberals and Democrats for Europe		262681199589	Facebook	86	1	8419914	3532000	39214	8100
Médecins du Monde France		265420476920	Facebook	965	1	8351035	2715000	123138	9178
Claudia Gamon	NEOS	447992848717452	Facebook	268	1	8330732	2855000	56432	9400
SPD		AR456734381399080960	Google	32	1	8330000	820000	427250	36700
Gazeta Wyborcza		63563473556	Facebook	386	1	8223614	2717000	19032	2814
kontrast.at	kontrast.at	1079650008770485	Facebook	104	1	8091896	3235000	42696	13600
CDA Doetinchem		AR453512812329697280	Google	35	1	7820000	770000	2650	100
PACMA - Partido Animalista	PACMA - Partido Animalista	72181181684	Facebook	71	1	7746929	3327000	23229	4100
Thodoris Kalabokis	Thodoris Kalabokis	311791572779718	Facebook	139	1	7695861	2814000	36161	5600
Groen	Groen	84920854319	Facebook	180	1	7672820	2707000	37220	5400
RMDSZ	RMDSZ	102601499822802	Facebook	207	1	7588793	2273000	10671	1890
Electoral Commission UK	The Electoral Commission	841894835830532	Facebook	43	1	7399957	3172000	56421	11687
Avaaz	Avaaz	8340223883	Facebook	43	1	7192957	3333000	42721	9254
Vytenis Andriukaitis	Vytenis Andriukaitis	1651554231738028	Facebook	50	1	7171950	3195000	11150	2100
DIE LINKE	DIE LINKE	47694585682	Facebook	257	1	7134743	2514000	35143	2700
Greens/EFA in the European Parliament		150527751674751	Facebook	58	1	7091942	3051000	10684	1869
ALDE - Partidul Alianta Liberalilor si Democratilor	EvolveDreamSoft	1445317929104549	Facebook	37	1	7079963	3195000	9446	2626
Peter Mertens	PVDA	236485149843971	Facebook	573	1	7073427	2057000	84427	8300
Suomen Sosialidemokraattinen Puolue - Finlands Socialdemokratiska  Parti r.p.		AR525570406367625216	Google	67	1	7060000	650000	282800	5600
Parlement européen en France	Parlement européen en France	279757933824	Facebook	72	1	7019928	2695000	28728	7600
John Crombez	sp.a	264131406977201	Facebook	85	1	6938915	2756000	41415	8300
Dominic Hannigan	Dominic Hannigan	210059959032336	Facebook	186	1	6892814	2162000	37114	5500
Europees Parlement Nederland		270788920480	Facebook	49	1	6842951	2934000	62051	15800
UAB "BPN LT"		AR135010682042056704	Google	32	1	6800000	680000	2500	100
Greenpeace UK	Greenpeace UK 	9250349228	Facebook	138	1	6749862	2483000	52492	10877
LMP - Lehet Más a Politika	LMP - Lehet Más a Politika	47198507012	Facebook	89	1	6747911	2713000	8136	2259
Wiosna Biedronia	KW Wiosna Roberta Biedronia	2246647628925721	Facebook	19	1	6739981	3210000	9487	2023
Angelika Winzig	Wirtschaftsbund Österreich	141015722773374	Facebook	1318	1	6682682	1466000	148082	4400
Ανεξάρτητοι 'Ελληνες	Start Business Hellas	343233902394715	Facebook	38	1	6634962	2943000	13462	2700
Compromís	Compromís	194053080624605	Facebook	51	1	6586949	2776000	26749	5800
MSZP	MSZP	115388925185513	Facebook	65	1	6571935	2801000	11111	4640
Facebook Brussels	Facebook	287739491272583	Facebook	18	1	6555982	2831000	63660	16300
Dobrev Klára	Demokratikus Koalíció	1880809845328535	Facebook	58	1	6350942	2560000	12210	4243
Partido Socialista Europeu	Partido Socialista Europeu	126509981274614	Facebook	63	1	6337937	2712000	8337	800
Save the Children España	Save the Children España	57845333112	Facebook	19	1	6309981	2995000	36781	8200
SP	SP	128393027527	Facebook	161	1	6258839	2432000	72039	13600
Fără Penali în Funcții Publice	Uniunea Salvați România - USR	275621429636078	Facebook	39	1	6224961	2931000	20014	5189
Klang der Solidarität		385076005313967	Facebook	88	1	6108912	2526000	13896	1780
Apodemia		115927088504184	Facebook	22	1	6100978	2740000	2978	200
SoftCream Longina Śniecikowska BAreńska		AR39744596565032960	Google	35	1	6020000	590000	4000	250
Kostas Dervos	Kostas Dervos	1970779819866623	Facebook	185	1	5892815	1741000	19515	300
HC Strache	FPÖ	74865038590	Facebook	79	1	5838921	2436000	38421	10500
Vlaams Belang Brussel	Vlaams Belang	499682940133305	Facebook	79	1	5814921	2375000	112821	25500
Initiative Neue Soziale Marktwirtschaft (INSM)	Initiative Neue Soziale Marktwirtschaft (INSM)	121678260974	Facebook	714	1	5766286	1393000	79086	2100
Venstres Landsorganisation		AR283015942256984064	Google	54	1	5760000	540000	307150	5550
Ufficio d'informazione in Italia del Parlamento europeo		143544514130	Facebook	37	1	5679963	2477000	6863	800
Banque mondiale		155174084508744	Facebook	107	1	5677893	2163000	10141	178
Fratelli d'Italia	Fratelli d'Italia	355710427861591	Facebook	71	1	5607929	2297000	28729	7400
Sozialdemokratische Partei Österreichs (SPÖ)		AR520910676089110528	Google	65	1	5600000	510000	131150	2900
Campact e.V.	Campact e.V.	82734241364	Facebook	34	1	5560966	2315000	35966	8900
Die Grünen	Die Grünen	21759893033	Facebook	101	1	5549899	1788000	41799	7500
Fundación Anesvad	Jose Manuel Bran Garcia	131231529742	Facebook	236	1	5525764	2116000	43964	8500
En Comú Podem	En Comú Podem	463627663844039	Facebook	54	1	5403946	2260000	18746	5000
Roberta Metsola		406824526101449	Facebook	473	1	5350527	1645000	57027	2100
Greenpeace Österreich	Greenpeace Österreich	32984679070	Facebook	608	1	5323392	1568000	66192	1500
Centerpartiet	Centerpartiet	12690894340	Facebook	154	1	5290846	1868000	68672	16308
Scientists for EU	Scientists for EU	642444842524195	Facebook	62	1	5260938	1775000	37652	6595
Cink, s.r.o.		AR361287976015101952	Google	29	1	5240000	510000	3700	250
Katarina Barley	SPD	1522202731410785	Facebook	337	1	5215663	1455000	43363	2500
London Labour Party	The London Labour Party 	474613052643462	Facebook	86	1	5212914	1925000	49428	10761
Partei der Humanisten	Partei der Humanisten	499613946840551	Facebook	344	1	5211656	1363000	39956	2300
Humble Household		1746853745395190	Facebook	53	1	5155947	2085000	50591	12872
Primes écologique		152399322377561	Facebook	19	1	5154981	2131000	60081	12900
Roberto Rosso		1735684256653359	Facebook	47	1	5130953	2167000	28553	6900
Lilian Marijnissen	SP	844559615710915	Facebook	59	1	5092941	2125000	26041	6200
D66	D66	52985377549	Facebook	45	1	5049955	2013000	32855	7300
SPOLU - občianska demokracia	SPOLU - občianska demokracia	1057020590987528	Facebook	187	1	5003813	1694000	36113	5000
Perussuomalaiset r.p., Sannfinländarna r.p.		AR535217521389731840	Google	32	1	5000000	480000	128150	2750
Ayuda LGTB		315021912539118	Facebook	51	1	4994949	2083000	31649	6300
VB - nos gens d'abord	Vlaams Belang	816130908786112	Facebook	131	1	4951869	1766000	57169	12900
Amnesty International UK		7624294394	Facebook	92	1	4933908	2129000	45023	14464
Alfred Sant	Alfred Sant	537789116260209	Facebook	114	1	4921886	1852000	20986	2700
La Prime Énergie		336155273400553	Facebook	28	1	4920972	1954000	43872	9800
Sverigedemokraterna	Sverigedemokraterna	676246449160270	Facebook	33	1	4914967	2071000	54774	14650
PSOE Aragón	PSOE Aragón	170970449608409	Facebook	3586	1	4896414	393000	355414	100
Le HCR, l'Agence des Nations Unies pour les Réfugiés		112542522148670	Facebook	61	1	4849939	1992000	21739	4800
IKEA	IKEA	112961202185776	Facebook	78	1	4840922	1801000	18422	3500
Guardian Weekly		64525551258	Facebook	30	1	4830970	1962000	23456	5438
Socialdemokratiet Sønderborg kreds		AR556939473108074496	Google	76	1	4810000	420000	8750	550
EDS - EURÓPSKA DEMOKRATICKÁ STRANA	Európska Demokratická Strana	161166119377	Facebook	106	1	4762894	1626000	14894	1100
KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ		AR237340030215913472	Google	50	1	4730000	440000	2950	50
The Week UK	The Week	177855115588808	Facebook	141	1	4635859	1685000	43810	7984
TheArticle	TheArticle	607840469632004	Facebook	26	1	4625974	2051000	41165	9836
Lara Comi	Lara Comi	155619044465389	Facebook	91	1	4610909	1409000	16309	3200
Instant PPI UK		616112792139038	Facebook	73	1	4554927	1696000	44530	10236
EU-kommissionen i Sverige		155824787799	Facebook	18	1	4535982	2183000	19649	4760
School Cuts	National Education Union	871798409656672	Facebook	155	1	4516845	1085000	44603	6711
Covestro		150793518281117	Facebook	16	1	4510984	1975000	8384	2800
Delphinus		20411877802	Facebook	11	1	4505989	2200000	2037	267
Medici Senza Frontiere		65737832194	Facebook	26	1	4476974	1881000	17874	5800
Alex Salmond	Slainte Media	136191876445102	Facebook	90	1	4476910	1649000	20956	2661
